smiles-cation,smiles-anion,"Specific density, kg/m<SUP>3</SUP>_mean","Heat capacity at constant pressure, J/K/mol_mean","Specific density, kg/m<SUP>3</SUP>_std","Heat capacity at constant pressure, J/K/mol_std",count,name-cation,name-anion,category
CCCC[P+](CCCC)(CCCC)CCCC,C([C@@H](C(=O)[O-])N)O,992.2999999999997,748.0000000000003,,,1,tetrabutylphosphonium,L-serinate,Phosphonium
CCCC[P+](CCCC)(CCCC)CCCC,C([C@@H](C(=O)[O-])N)S,1033.6999999999998,920.0000000000003,,,1,tetrabutylphosphonium,L-cysteinate,Phosphonium
CCCC[P+](CCCC)(CCCC)CCCC,C1C[C@H](NC1)C(=O)[O-],992.5000000000003,844.0000000000002,,,1,tetrabutylphosphonium,L-prolinate,Phosphonium
CCCC[P+](CCCC)(CCCC)CCCC,C[C@H]([C@@H](C(=O)[O-])N)O,979.9000000000003,961.0,,,1,tetrabutylphosphonium,L-threoninate,Phosphonium
CCCC[n+]1ccc(cc1)C,[B-](F)(F)(F)F,1190.907222222222,400.59444444444443,9.080185801127914,16.904975676243335,18,1-butyl-2-methylpyridinium,tetrafluoroborate,Pyridinium
CCCC[n+]1cccc(c1)C,C(#N)[N-]C#N,1051.733333333333,368.00000000000017,3.695041722813723,0.0,3,1-butyl-3-methylpyridinium,dicyanamide,Pyridinium
CCCC[n+]1cccc(c1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1416.688571428571,578.0000000000001,5.0293519415907495,0.0,7,1-butyl-3-methylpyridinium,"1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",Pyridinium
CCCC[n+]1cccc(c1)C,[B-](F)(F)(F)F,1181.8385714285716,412.29999999999984,2.15406923883959,0.0,7,1-butyl-3-methylpyridinium,tetrafluoroborate,Pyridinium
CCCC[n+]1cccc(c1)C#N,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1479.0,585.9999999999998,,,1,1-butyl-3-cyanopyridinium,bis(trifluoromethylsulfonyl)imide,Pyridinium
CCCC[n+]1ccccc1,C(F)(F)(F)S(=O)(=O)[O-],1314.3300000000002,470.00000000000006,0.0,0.0,2,1-butylpyridinium,trifluoromethanesulfonate,Pyridinium
CCCC[n+]1ccccc1,[B-](F)(F)(F)F,1213.9479999999999,389.15999999999997,0.2394809201400384,6.155900511794537,10,1-butylpyridinium,tetrafluoroborate,Pyridinium
CCCCn1cc[n+](c1)C,C(#N)[C-](C#N)C#N,1046.9860000000003,298.1,0.36122015447631955,0.0,5,1-butyl-3-methylimidazolium,tricyanomethane,Imidazolium
CCCCn1cc[n+](c1)C,C(#N)[N-]C#N,1060.8049999999998,370.5,1.7060441573024856,5.680375574437584,16,1-butyl-3-methylimidazolium,dicyanamide,Imidazolium
CCCCn1cc[n+](c1)C,C(=O)(C(F)(F)F)[O-],1215.0999999999997,407.8999999999999,2.1283796653789016,0.0,3,1-butyl-3-methylimidazolium,trifluoroacetate,Imidazolium
CCCCn1cc[n+](c1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1435.9946874999978,559.1333333333343,1.194137205294809,13.78606072753482,288,1-butyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,Imidazolium
CCCCn1cc[n+](c1)C,C(F)(F)(F)S(=O)(=O)[O-],1298.471666666667,423.44,1.7708603354537134,3.4462064626268467,60,1-butyl-3-methylimidazolium,trifluoromethanesulfonate,Imidazolium
CCCCn1cc[n+](c1)C,CC(=O)[O-],1053.17875,382.09999999999997,1.1349765048963316,1.1360751148873867,16,1-butyl-3-methylimidazolium,acetate,Imidazolium
CCCCn1cc[n+](c1)C,CCCCCCCCOS(=O)(=O)[O-],1066.2,635.0,2.306512518934114,0.0,5,1-butyl-3-methylimidazolium,octyl sulfate,Imidazolium
CCCCn1cc[n+](c1)C,F[P-](F)(F)(F)(F)F,1366.464,405.63333333333355,2.1864224759280493,5.939067479202562,75,1-butyl-3-methylimidazolium,hexafluorophosphate,Imidazolium
CCCCn1cc[n+](c1)C,[B-](F)(F)(F)F,1207.6905882352944,368.5333333333324,28.96629248186398,9.167379879703015,204,1-butyl-3-methylimidazolium,tetrafluoroborate,Imidazolium
CCCCn1cc[n+](c1)C,[Br-],1264.3999999999996,279.3999999999999,50.14387300558235,41.18873632438848,6,1-butyl-3-methylimidazolium,bromide,Imidazolium
CCCCn1cc[n+](c1)C,[Cl-],1081.59,322.99999999999994,,,1,1-butyl-3-methylimidazolium,chloride,Imidazolium
CCCCn1cc[n+](c1)C,[I-],1469.8000000000002,309.90000000000003,13.859292911256267,0.0,2,1-butyl-3-methylimidazolium,iodide,Imidazolium
CCCCn1cc[n+](c1)C,[N+](=O)([O-])[O-],1156.5,305.7999999999999,,,1,1-butyl-3-methylimidazolium,nitrate,Imidazolium
CCC[N+]1(CCCC1)C,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1427.7100000000003,554.0000000000001,0.270739727413552,0.0,3,1-methyl-1-propylpyrrolidinium,bis[(trifluoromethyl)sulfonyl]imide,Pyrrolidinium
CCC[n+]1ccccc1,[B-](F)(F)(F)F,1253.0999999999995,362.9999999999999,,,1,1-propylpyridinium,tetrafluoroborate,Pyridinium
CCCn1cc[n+](c1)C,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1474.5333333333335,511.94999999999993,0.5429982125420312,23.615355174123323,18,1-methyl-3-propylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,Imidazolium
CC[n+]1ccccc1,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1535.5519999999997,522.0000000000002,2.1810823001435726,0.0,5,1-ethylpyridinium,bis[(trifluoromethyl)sulfonyl]imide,Pyridinium
CC[n+]1ccccc1(CC),CCOS(=O)(=O)[O-],1220.2000000000005,412.0000000000001,,,1,"1,2-diethylpyridinium",ethylsulfate,Pyridinium
CC[n+]1ccccc1C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1505.5300000000002,534.0000000000001,0.25455844122724713,0.0,2,1-ethyl-2-methylpyridinium,bis((trifluoromethyl)sulfonyl)amide,Pyridinium
CCn1cc[n+](c1)C,C(#N)[N-]C#N,1103.025,314.5999999999999,2.666592260866912,0.0,8,1-ethyl-3-methylimidazolium,dicyanamide,Imidazolium
CCn1cc[n+](c1)C,C(#N)[S-],1116.3214285714287,281.40000000000003,0.6547882245794249,0.0,7,1-ethyl-3-methylimidazolium,thiocyanate,Imidazolium
CCn1cc[n+](c1)C,C(F)(F)(F)S(=O)(=O)[O-],1384.7350000000004,363.15000000000026,1.1780144093846636,0.08770580193078636,40,1-ethyl-3-methylimidazolium,trifluoromethanesulfonate,Imidazolium
CCn1cc[n+](c1)C,CC(=O)[O-],1094.3853846153847,321.90000000000003,20.457834935701726,0.0,13,1-ethyl-3-methylimidazolium,acetate,Imidazolium
CCn1cc[n+](c1)C,CCOS(=O)(=O)[O-],1237.7589743589751,391.50000000000136,1.4376967150618043,5.039124347894968,156,1-ethyl-3-methylimidazolium,ethyl sulfate,Imidazolium
CCn1cc[n+](c1)C,COP(=O)([O-])OC,1220.0000000000005,412.0000000000001,,,1,1-ethyl-3-methylimidazolium,dimethylphosphate,Imidazolium
CCn1cc[n+](c1)C,COS(=O)(=O)[O-],1289.582222222222,341.00000000000006,28.01682921824742,0.0,9,1-ethyl-3-methylimidazolium,methylsulfate,Imidazolium
CCn1cc[n+](c1)C,CS(=O)(=O)[O-],1239.7825,346.0000000000001,3.7346476215489828,0.0,8,1-ethyl-3-methylimidazolium,methanesulfonate,Imidazolium
CCn1cc[n+](c1)C,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1518.6342857142854,502.949999999999,1.8180972156941086,19.450666826615446,126,1-ethyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,Imidazolium
CCn1cc[n+](c1)C,N#C[B-](C#N)(C#N)C#N,1035.2514285714283,407.8000000000001,2.8028463423897376,0.0,7,1-ethyl-3-methylimidazolium,tetracyanoborate,Imidazolium
CCn1cc[n+](c1)C,[B-](F)(F)(F)F,1280.579999999998,305.34999999999974,2.0308563116307186,1.0896886636318623,160,1-ethyl-3-methylimidazolium,tetrafluoroborate,Imidazolium
CCn1cc[n+](c1)C,[Br-],1388.0999999999997,207.50000000000009,,,1,1-ethyl-3-methylimidazolium,bromide,Imidazolium
CN1C=C[N+](=C1)CC2=CC=CC=C2,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1493.0,598.9999999999999,,,1,1-benzyl-3-methyl-1H-imidazol-3-ium,bis((trifluoromethyl)sulfonyl)amide,Imidazolium
C[NH+]1CN(C=C1)CC2=CC=CC=C2,[Cl-],1192.7999999999995,338.39999999999986,,,1,1-benzyl-3-methyl-1H-imidazolium,chloride,Imidazolium
C[n+]1cc[nH]c1,CC(CC(C)(C)C)CP(=O)(CC(C)CC(C)(C)C)[O-],887.1120000000001,1635.0000000000002,2.2269418492630675,0.0,5,trihexyltetradecylphosphonium,"bis(2,4,4-trimethylpentyl)phosphinate",Phosphonium
C[n+]1ccccc1,COS(=O)(=O)[O-],1344.8000000000004,299.0000000000001,,,1,1-methylpyridinium,methylsulfate,Pyridinium
C[n+]1ccn(c1)CCO,C(=[N-])=NC#N,1153.1000000000001,231.79999999999995,46.81046891454996,0.0,2,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium,dicyanoazanide,Imidazolium
Cn1cc[n+](c1)C,COP(=O)([O-])OC,1257.0399999999997,283.0,2.510577622779152,0.0,5,"1,3-dimethylimidazolium",dimethylphosphate,Imidazolium
[P+](CC)(CC)(CC)(CCCCCC),FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1283.8300000000004,713.0,6.830651506262187,0.0,2,triethylhexylammonium,bis((trifluoromethyl)sulfonyl)imide,Ammonium
[P+](CC)(CC)(CC)(CCCCCCCC),FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1249.2399999999998,775.0000000000002,,,1,triethyloctylammonium,bis[(trifluoromethyl)sulfonyl]imide,Ammonium
c1c[n+](cn1CC(C)C)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1436.2999999999995,565.0000000000002,,,1,1-isobutyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]amide,Imidazolium
c1c[n+](cn1CCCCC)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1403.5,595.6000000000001,0.14142135623693972,0.0,2,1-methyl-3-pentylimidazolium,bis(trifluoromethylsulfonyl)imide,Imidazolium
c1c[n+](cn1CCCCC)C,F[P-](F)(F)(F)(F)F,1327.8000000000004,436.80000000000007,,,1,1-methyl-3-pentylimidazolium,hexafluorophosphate,Imidazolium
c1c[n+](cn1CCCCCCC)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1345.0,659.2000000000003,0.5656854249496078,0.0,2,1-heptyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)amide,Imidazolium
c1c[n+](cn1CCCCCCC)C,F[P-](F)(F)(F)(F)F,1262.5999999999997,499.99999999999983,,,1,1-heptyl-3-methylimidazolium,hexafluorophosphate,Imidazolium
c1c[n+](cn1CCCCCCCCC)C,F[P-](F)(F)(F)(F)F,1203.7199999999998,569.1000000000003,13.265323215059464,0.0,2,1-nonyl-3-methylimidazolium,hexafluorophosphate,Imidazolium
