"Density_kg/m, Experimental","Density_kg/m, Prediction on epsilon=0.0001","Density_kg/m, Prediction on epsilon=0.01",Salt Name,Temperature_K,Pressure_kPa
7.224899061583537,7.2241027607880595,7.217567231059252,1-ethyl-3-methylimidazolium ethyl sulfate,347.15,101.325
7.158513997329321,7.159246121488892,7.1508425388731744,1-ethyl-3-methylimidazolium acetate,318.15,101.0
7.36827659283838,7.365292314533672,7.341503320774162,1-ethyl-3-methylimidazolium tetrafluoroborate,328.15,101.3
7.097962330050082,7.099685460972069,7.115406062355201,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,299.193,50157.0
7.089910155218993,7.090465145925437,7.0988868996722365,1-ethyl-3-methylimidazolium acetate,278.15,101.325
7.1180162044653335,7.1098423876564665,7.118671161165579,1-ethyl-3-methylimidazolium ethyl sulfate,273.15,101.325
7.004518947414445,6.994879089350044,7.013517815616409,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,303.13,101.0
7.132832958663611,7.133004871614243,7.142891524894348,1-ethyl-3-methylimidazolium ethyl sulfate,323.15,101.325
7.010943436778306,7.018159972428777,7.020289190072498,1-ethyl-3-methylimidazolium ethyl sulfate,318.15,100.0
7.106852009137794,7.105607669695919,7.115373307303688,1-ethyl-3-methylimidazolium ethyl sulfate,268.15,101.325
7.280903785613758,7.281055676237075,7.287108945323045,1-ethyl-3-methylimidazolium methylsulfate,293.15,101.325
7.00397413672268,6.994287551388861,7.0249220149757745,1-ethyl-3-methylimidazolium thiocyanate,313.15,101.325
7.305860032684009,7.305447937411908,7.298689203976924,1-ethyl-3-methylimidazolium ethyl sulfate,288.15,101.325
7.132976670091312,7.13512836105627,7.134259946061598,1-ethyl-3-methylimidazolium methylsulfate,293.15,101.325
7.073184968105874,7.07234826508677,7.080001785131017,1-ethyl-3-methylimidazolium ethyl sulfate,298.141,96.0
7.102910793756178,7.102785812584682,7.106273258523073,1-ethyl-3-methylimidazolium ethyl sulfate,283.19,5138.0
7.1349705296664006,7.135299287339536,7.135389934057181,1-ethyl-3-methylimidazolium ethyl sulfate,303.15,35000.0
7.018401799069201,7.018162984983888,7.021029862777399,1-ethyl-3-methylimidazolium ethyl sulfate,313.15,120354.0
7.12068686521993,7.121550641493477,7.131082637986635,1-ethyl-3-methylimidazolium ethyl sulfate,337.15,101.325
7.174188178394744,7.174396120708779,7.164951994799995,1-ethyl-3-methylimidazolium tetrafluoroborate,340.365,19698.0
7.098524387857645,7.09879690579847,7.108704571435054,1-ethyl-3-methylimidazolium acetate,298.15,101.325
7.332369205929062,7.330840268326606,7.321426492841964,1-ethyl-3-methylimidazolium ethyl sulfate,303.15,101.325
7.064929953354135,7.068399307269793,7.08486549378653,1-ethyl-3-methylimidazolium methanesulfonate,303.0,101.325
7.149916836132109,7.150104204700342,7.141860939834198,1-ethyl-3-methylimidazolium ethyl sulfate,433.15,100.0
7.006604643024306,7.04890075780697,7.074811546404037,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,101.325
7.096969692033262,7.097058273807753,7.093238515088775,1-ethyl-3-methylimidazolium ethyl sulfate,433.15,30010.0
7.210227436906553,7.210595219464137,7.203682825199634,1-ethyl-3-methylimidazolium methylsulfate,313.15,10000.0
7.117692002809065,7.118185522802823,7.120704443269453,1-ethyl-3-methylimidazolium hexafluorophosphate,312.8,30000.0
7.120630288819548,7.120991972754649,7.123001440179286,1-ethyl-3-methylimidazolium ethyl sulfate,298.16,99253.0
7.122059881629142,7.121940035868118,7.126812029942822,1-ethyl-3-methylimidazolium ethyl sulfate,313.15,20000.0
7.107916753904423,7.107870835841314,7.117824973077738,1-ethyl-3-methylimidazolium ethyl sulfate,308.15,101.325
7.1957123136283485,7.199466150551145,7.195333736291211,1-ethyl-3-methylimidazolium ethyl sulfate,325.65,101.325
7.118745274123777,7.118266288689274,7.116814192207319,1-ethyl-3-methylimidazolium tetrafluoroborate,311.72,50382.0
7.319931152781743,7.32016611626208,7.314236252222697,1-ethyl-3-methylimidazolium hexafluorophosphate,392.9,200000.0
