name,smiles
bis(fluorosulfonyl)imide,[N-](S(=O)(=O)F)S(=O)(=O)F
bis(perfluoroethylsulfonyl)imide,C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F
"1,1,2-trifluoro-2-(perfluoroethoxy)ethanesulfonate",C(C(F)(F)S(=O)(=O)[O-])(OC(C(F)(F)F)(F)F)F
"1,1,2-trifluoro-2-(trifluoromethoxy)ethanesulfonate",C(C(F)(F)S(=O)(=O)[O-])(OC(F)(F)F)F
tosylate,CC1=CC=C(C=C1)S(=O)(=O)[O-]
trifluoromethansulfate,C(F)(F)(F)S(=O)(=O)[O-]
phenolate,C1=CC=C(C=C1)[O-]
isobutyrate,CC(C)C(=O)[O-]
L-asparaginate,C([C@@H](C(=O)[O-])N)C(=O)N
bis(trifluoromethylsulfonyl)imid,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
taurate,C(CS(=O)(=O)[O-])N
docusate,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-]
ethyl sulfate,CCOS(=O)(=O)[O-]
hexyl sulfate,CCCCCCOS(=O)(=O)[O-]
octyl sulfate,CCCCCCCCOS(=O)(=O)[O-]
butyl sulfate,CCCCOS(=O)(=O)[O-]
hydrogen sulfate,OS(=O)(=O)[O-]
methyl sulfate,CO[P@@H](=O)[O-]
butyl phosphonate,CCCCO[P@@H](=O)[O-]
ethyl phosphonate,CCO[P@@H](=O)[O-]
octyl phosphonate,CCCCCCCCOP(=O)[O-]
hydrogen carbonate,C(=O)(O)[O-]
dihydrogen phosphate,OP(=O)(O)[O-]
dodecyl sulfate,CCCCCCCCCCCCOS(=O)(=O)[O-]
2-hydroxypropanoate,CC(C(=O)[O-])O
methyl phosphonate,COP(=O)([O-])
2-(2-methoxyethoxy)ethyl sulfate,COCCOCCOS(=O)(=O)[O-]
"3-((1,3-dihydroxy-2-(hydroxymethyl)propan-2-yl)amino)-2-hydroxypropanesulfonate",C(C(CS(=O)(=O)[O-])O)NC(CO)(CO)CO
"2,2,2-trifluoroacetate",C(=O)(C(F)(F)F)[O-]
"1,1,2,3,3,3-hexafluoro-1-propanesulfonate",C(C(F)(F)F)(C(F)(F)S(=O)(=O)[O-])F
