"Normal melting temperature, K",salt_name
391.1,"3-azido-5-methyl-1H-1,2,4-triazol-1-ium nitrate"
370.1,"3,5-diazido-1,2,4-triazolium nitrate"
374.1,"1-methyl-4-amino-1,2,4-triazolium iodide"
359.1,"4-amino-1-methyl-4H-1,2,4-triazol-1-ium perchlorate"
383.1,"1,4-dimethyl-4H-1,2,4-triazolium triiodide"
274.1,"1,4-dimethyl-4H-1,2,4-triazolium nitrate"
341.1,"3-azido-1,4-dimethyl-4H-1,2,4-triazol-1-ium perchlorate"
338.1,"3-ethyl-1,2-dimethyl-4-nitro-1H-imidazol-3-ium nitrate"
389.1,2-azido-1H-imidazol-1-ium perchlorate
397.1,2-azido-1H-imidazol-1-ium nitrate
367.1,"1,3,5-trimethyl-1H-tetrazolium nitrate"
394.1,"4-amino-1,5-dimethyl-1H-tetrazol-4-ium iodide"
324.1,"4-amino-1,5-dimethyl-1H-tetrazol-4-ium perchlorate"
389.1,"3-azido-1,4-dimethyl-4H-1,2,4-triazol-1-ium iodide"
396.1,"3-azido-1H-1,2,4-triazol-1-ium perchlorate"
371.1,"3-azido-1,4-dimethyl-4H-1,2,4-triazol-1-ium nitrate"
324.1,"4-amino-1,5-dimethyl-1H-tetrazol-4-ium perchlorate"
367.1,"3-amino-1,5-dimethyl-2,3-dihydro-1H-tetrazol-4-ium nitrate"
359.1,"4-amino-1-methyl-4H-1,2,4-triazol-1-ium perchlorate"
356.1,"4-amino-1,2,4-triazolium perchlorate"
342.1,"4-amino-1,2,4-triazolium nitrate"
381.1,"1-amino-4-methyl-4H-1,2,4-triazol-1-ium perchlorate"
364.1,"1-amino-1H-1,2,4-triazol-1-ium perchlorate"
394.1,"1-amino-1H-1,2,4-triazol-1-ium nitrate"
372.1,"1-(2-azidoethyl)-1H-1,2,4-triazol-1-ium nitrate"
216.1,"1-(2-azidoethyl)-4-methyl-1,2,4-triazolium nitrate"
217.1,"4-(2-azidoethyl)-1-methyl-4H-1,2,4-triazol-1-ium nitrate"
336.1,"4-(2-azidoethyl)-1-methyl-4H-1,2,4-triazol-1-ium perchlorate"
221.1,"1-(2-azidoethyl)-4-methyl-4H-1,2,4-triazol-1-ium perchlorate"
217.1,"1-(2-azidoethyl)-1H-1,2,4-triazol-1-ium perchlorate"
219.1,"3-azido-1-(2-azidoethyl)-1H-1,2,4-triazol-1-ium nitrate"
343.1,"4-amino-1-(2-azidoethyl)-4H-1,2,4-triazol-1-ium nitrate"
227.1,"4-amino-1-(2-azidoethyl)-4H-1,2,4-triazol-1-ium perchlorate"
333,1-ethyl-3-methylimidazolium hexafluorophosphate
287,4-(3-hydroxypropyl)-4-methylmorpholinium bis(trifluoromethylsulfonyl)amide
335.1,1-methyl-3-propylimidazolium chloride
340.1,1-butyl-3-methylimidazolium chloride
358.1,1-ethyl-3-methylimidazolium chloride
399.4,"1,3-dimethylimidazolium chloride"
340.1,1-butyl-3-methylimidazolium chloride
307.6,1-butyl-3-methylimidazolium octyl sulfate
401.15,benzothiazolium trifluoromethanesulfonate
398.15,benzothiazolium tetrafluoroborate
378.15,benzothiazolium methanesulfonate
393.15,benzothiazolium p-toluenesulfonate
268.3,1-ethyl-3-methylimidazolium dicyanamide
286.6,1-ethyl-3-methylimidazolium tetrafluoroborate
287.1,1-ethyl-3-methylimidazolium tetrafluoroborate
256,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
256.7,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
264.5,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
271.3,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
290.1,1-methyl-3-propylimidazolium iodide
291.4,1-methyl-3-propylimidazolium iodide
267.7,1-ethyl-3-methylimidazolium dicyanamide
275.9,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate
275.1,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate
278.6,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate
277.56,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate
270.7,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
285.62,methyltrioctylammonium trifluoroacetate
262.23,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
305.1,1-ethylpyridinium bis[(trifluoromethyl)sulfonyl]imide
305.1,1-ethylpyridinium triflate
335.1,1-ethylpyridinium methanesulfonate
289.1,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide"
259.1,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
306.1,choline bis(trifluoromethylsulfonyl)imide
328,1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate
333,1-ethyl-3-methylimidazolium hexafluorophosphate
350,1-ethyl-3-methylimidazolium iodide
345,1-ethyl-3-methylimidazolium bromide
360,1-ethyl-3-methylimidazolium chloride
288,1-ethyl-3-methylimidazolium tetrafluoroborate
330,1-hexadecyl-3-methylimidazolium tetrafluoroborate
305,1-dodecyl-3-methylimidazolium tetrafluoroborate
280,1-decyl-3-methylimidazolium tetrafluoroborate
436,cholinium perfluorobutanesulfonate
303,cholinium bis(nonafluorobutylsulfonyl)imide
428,1-ethyl-1-methylpyrrolidinium bis(nonafluorobutylsulfonyl)imide
371,1-butyl-1-methylpyrrolidinium bis(nonafluorobutylsulfonyl)imide
275,1-ethyl-3-methylpyridinium perfluoropentanoate
284.4,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
287.6,1-ethyl-3-methylimidazolium tetrafluoroborate
296.2,1-decyl-3-methylimidazolium trifluoromethansulfate
391.31,1-ethylpyridinium bromide
342.8,1-propylpyridinium bromide
299.1,"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide"
292.1,butyltrimethylammonium bis(trifluoromethylsulfonyl)imide
299.1,1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide
258.1,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
267.1,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
255.2,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
270.1,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
290.1,1-butyl-3-methylimidazolium trifluoromethanesulfonate
283.1,1-butyl-3-methylimidazolium hexafluorophosphate
