name-anion,smiles-anion,steiger-anion,Marsili Partial Charges-anion,BalabanJ-anion,BertzCT-anion,Ipc-anion,HallKierAlpha-anion,Kappa1-anion,Kappa2-anion,Kappa3-anion,Chi0-anion,Chi1-anion,Chi0n-anion,Chi1n-anion,Chi2n-anion,Chi3n-anion,Chi4n-anion,Chi0v-anion,Chi1v-anion,Chi2v-anion,Chi3v-anion,Chi4v-anion,MolLogP-anion,MolMR-anion,MolWt-anion,HeavyAtomCount-anion,HeavyAtomMolWt-anion,NHOHCount-anion,NOCount-anion,NumHAcceptors-anion,NumHDonors-anion,NumHeteroatoms-anion,NumRotatableBonds-anion,NumValenceElectrons-anion,RingCount-anion,TPSA-anion,LabuteASA-anion,PEOE_VSA1-anion,PEOE_VSA2-anion,PEOE_VSA3-anion,PEOE_VSA4-anion,PEOE_VSA5-anion,PEOE_VSA6-anion,PEOE_VSA7-anion,PEOE_VSA8-anion,PEOE_VSA9-anion,PEOE_VSA10-anion,PEOE_VSA11-anion,PEOE_VSA12-anion,PEOE_VSA13-anion,PEOE_VSA14-anion,SMR_VSA1-anion,SMR_VSA2-anion,SMR_VSA3-anion,SMR_VSA4-anion,SMR_VSA5-anion,SMR_VSA6-anion,SMR_VSA7-anion,SMR_VSA8-anion,SMR_VSA9-anion,SMR_VSA10-anion,SlogP_VSA1-anion,SlogP_VSA2-anion,SlogP_VSA3-anion,SlogP_VSA4-anion,SlogP_VSA5-anion,SlogP_VSA6-anion,SlogP_VSA7-anion,SlogP_VSA8-anion,SlogP_VSA9-anion,SlogP_VSA10-anion,SlogP_VSA11-anion,SlogP_VSA12-anion,EState_VSA1-anion,EState_VSA2-anion,EState_VSA3-anion,EState_VSA4-anion,EState_VSA5-anion,EState_VSA6-anion,EState_VSA7-anion,EState_VSA8-anion,EState_VSA9-anion,EState_VSA10-anion,EState_VSA11-anion,VSA_EState1-anion,VSA_EState2-anion,VSA_EState3-anion,VSA_EState4-anion,VSA_EState5-anion,VSA_EState6-anion,VSA_EState7-anion,VSA_EState8-anion,VSA_EState9-anion,VSA_EState10-anion,Topliss fragments-anion,name-cation,smiles-cation,steiger-cation,Marsili Partial Charges-cation,BalabanJ-cation,BertzCT-cation,Ipc-cation,HallKierAlpha-cation,Kappa1-cation,Kappa2-cation,Kappa3-cation,Chi0-cation,Chi1-cation,Chi0n-cation,Chi1n-cation,Chi2n-cation,Chi3n-cation,Chi4n-cation,Chi0v-cation,Chi1v-cation,Chi2v-cation,Chi3v-cation,Chi4v-cation,MolLogP-cation,MolMR-cation,MolWt-cation,HeavyAtomCount-cation,HeavyAtomMolWt-cation,NHOHCount-cation,NOCount-cation,NumHAcceptors-cation,NumHDonors-cation,NumHeteroatoms-cation,NumRotatableBonds-cation,NumValenceElectrons-cation,RingCount-cation,TPSA-cation,LabuteASA-cation,PEOE_VSA1-cation,PEOE_VSA2-cation,PEOE_VSA3-cation,PEOE_VSA4-cation,PEOE_VSA5-cation,PEOE_VSA6-cation,PEOE_VSA7-cation,PEOE_VSA8-cation,PEOE_VSA9-cation,PEOE_VSA10-cation,PEOE_VSA11-cation,PEOE_VSA12-cation,PEOE_VSA13-cation,PEOE_VSA14-cation,SMR_VSA1-cation,SMR_VSA2-cation,SMR_VSA3-cation,SMR_VSA4-cation,SMR_VSA5-cation,SMR_VSA6-cation,SMR_VSA7-cation,SMR_VSA8-cation,SMR_VSA9-cation,SMR_VSA10-cation,SlogP_VSA1-cation,SlogP_VSA2-cation,SlogP_VSA3-cation,SlogP_VSA4-cation,SlogP_VSA5-cation,SlogP_VSA6-cation,SlogP_VSA7-cation,SlogP_VSA8-cation,SlogP_VSA9-cation,SlogP_VSA10-cation,SlogP_VSA11-cation,SlogP_VSA12-cation,EState_VSA1-cation,EState_VSA2-cation,EState_VSA3-cation,EState_VSA4-cation,EState_VSA5-cation,EState_VSA6-cation,EState_VSA7-cation,EState_VSA8-cation,EState_VSA9-cation,EState_VSA10-cation,EState_VSA11-cation,VSA_EState1-cation,VSA_EState2-cation,VSA_EState3-cation,VSA_EState4-cation,VSA_EState5-cation,VSA_EState6-cation,VSA_EState7-cation,VSA_EState8-cation,VSA_EState9-cation,VSA_EState10-cation,Topliss fragments-cation,"Normal melting temperature, K","Temperature, K","Pressure, kPa"
tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.7849350649350635,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549874,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0,1-butyl-2-methylpyridinium,CCCC[n+]1ccc(cc1)C,777.0,777.0,2.51863794324683,200.61769139965665,358.71869776560686,-0.8500000000000001,8.248522167487684,4.117027384036986,2.705089707817086,8.104448006685086,5.32569850269549,7.377935015818106,4.283749262554001,2.9668724247029465,1.8276718887547148,1.0216182694027172,7.377935015818106,4.283749262554001,2.9668724247029465,1.8276718887547148,1.0216182694027172,2.08262,46.28200000000002,150.24499999999995,11.0,134.11700000000002,0.0,1.0,0.0,0.0,1.0,3.0,60.0,1.0,3.88,68.68573315902185,0.0,0.0,4.5670996477913555,0.0,0.0,13.344558822616634,12.48718869138762,18.553555759849232,0.0,6.544756405912576,12.39368714322615,0.0,0.0,0.0,4.5670996477913555,0.0,0.0,0.0,33.23387405114585,0.0,30.08987277184637,0.0,0.0,0.0,4.5670996477913555,0.0,6.544756405912576,6.923737199690624,25.32883193723964,24.526421280149368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.544756405912576,18.40509473754901,0.0,0.0,42.94099532732197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2326388888888893,17.934027777777782,0.0,777.0,272.0,298.15,101.0
tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.7849350649350635,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549874,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0,"1-butyl-2,3-dimethylimidazolium",CCCCn1cc[n+](c1C)C,777.0,777.0,2.630825004028496,225.4666468122021,382.83853876352384,-0.79,8.307943192948091,3.5574623232348133,1.8220661079652816,8.267584713501616,5.253218857624055,7.670448072938812,4.2674928510309575,3.0032088269309583,2.148888738817986,1.1636124335515647,7.670448072938812,4.2674928510309575,3.0032088269309583,2.148888738817986,1.1636124335515647,1.4211200000000002,45.25300000000002,153.24899999999997,11.0,136.113,0.0,2.0,1.0,0.0,2.0,3.0,62.0,1.0,8.809999999999997,68.46980718102807,0.0,0.0,9.134199295582711,0.0,0.0,13.344558822616634,6.4208216229260096,6.923737199690624,13.592428388589767,12.39368714322615,0.0,0.0,5.824404497999928,0.0,4.5670996477913555,0.0,4.5670996477913555,7.0476719826771905,33.23387405114585,0.0,18.218091641226078,0.0,0.0,0.0,4.5670996477913555,4.5670996477913555,13.592428388589767,6.923737199690624,25.589784943542572,12.39368714322615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.544756405912576,18.66604774385195,0.0,0.0,42.4230328208673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.443611111111111,15.723055555555556,0.0,777.0,311.1,298.15,101.0
tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.7849350649350635,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549874,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0,"1-butyl-2,3-dimethylimidazolium",CCCCn1cc[n+](c1C)C,777.0,777.0,2.630825004028496,225.4666468122021,382.83853876352384,-0.79,8.307943192948091,3.5574623232348133,1.8220661079652816,8.267584713501616,5.253218857624055,7.670448072938812,4.2674928510309575,3.0032088269309583,2.148888738817986,1.1636124335515647,7.670448072938812,4.2674928510309575,3.0032088269309583,2.148888738817986,1.1636124335515647,1.4211200000000002,45.25300000000002,153.24899999999997,11.0,136.113,0.0,2.0,1.0,0.0,2.0,3.0,62.0,1.0,8.809999999999997,68.46980718102807,0.0,0.0,9.134199295582711,0.0,0.0,13.344558822616634,6.4208216229260096,6.923737199690624,13.592428388589767,12.39368714322615,0.0,0.0,5.824404497999928,0.0,4.5670996477913555,0.0,4.5670996477913555,7.0476719826771905,33.23387405114585,0.0,18.218091641226078,0.0,0.0,0.0,4.5670996477913555,4.5670996477913555,13.592428388589767,6.923737199690624,25.589784943542572,12.39368714322615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.544756405912576,18.66604774385195,0.0,0.0,42.4230328208673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.443611111111111,15.723055555555556,0.0,777.0,359.3,298.15,101.0
tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.7849350649350635,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549874,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0,"1-butyl-2,3-dimethylimidazolium",CCCCn1cc[n+](c1C)C,777.0,777.0,2.630825004028496,225.4666468122021,382.83853876352384,-0.79,8.307943192948091,3.5574623232348133,1.8220661079652816,8.267584713501616,5.253218857624055,7.670448072938812,4.2674928510309575,3.0032088269309583,2.148888738817986,1.1636124335515647,7.670448072938812,4.2674928510309575,3.0032088269309583,2.148888738817986,1.1636124335515647,1.4211200000000002,45.25300000000002,153.24899999999997,11.0,136.113,0.0,2.0,1.0,0.0,2.0,3.0,62.0,1.0,8.809999999999997,68.46980718102807,0.0,0.0,9.134199295582711,0.0,0.0,13.344558822616634,6.4208216229260096,6.923737199690624,13.592428388589767,12.39368714322615,0.0,0.0,5.824404497999928,0.0,4.5670996477913555,0.0,4.5670996477913555,7.0476719826771905,33.23387405114585,0.0,18.218091641226078,0.0,0.0,0.0,4.5670996477913555,4.5670996477913555,13.592428388589767,6.923737199690624,25.589784943542572,12.39368714322615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.544756405912576,18.66604774385195,0.0,0.0,42.4230328208673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.443611111111111,15.723055555555556,0.0,777.0,223.1,298.15,101.0
tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.7849350649350635,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549874,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0,1-propyl-3-methylimidazolium,CCCn1cc[n+](c1)C,777.0,777.0,2.613882432121332,178.79676078209476,147.27981845836288,-0.79,6.331802679658952,2.6672700037699983,1.557397546315933,6.690234444311991,4.325698502695489,6.040691560941888,3.3366770350253208,2.3169077967522806,1.3055384464315438,0.8921835012303042,6.040691560941888,3.3366770350253208,2.3169077967522806,1.3055384464315438,0.8921835012303042,0.7226,35.898999999999994,125.19499999999996,9.0,112.09100000000001,0.0,2.0,1.0,0.0,2.0,2.0,50.0,1.0,8.809999999999997,55.739922952234856,0.0,0.0,9.134199295582711,0.0,0.0,6.923737199690624,6.4208216229260096,0.0,13.592428388589767,12.39368714322615,0.0,6.3273200747645415,0.0,0.0,4.5670996477913555,0.0,4.5670996477913555,7.0476719826771905,19.88931522852921,0.0,18.721007217990696,0.0,0.0,0.0,4.5670996477913555,4.5670996477913555,13.592428388589767,0.0,13.344558822616634,18.721007217990696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.544756405912576,6.4208216229260096,0.0,7.0476719826771905,34.778943713264034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.231805555555555,12.768194444444443,0.0,777.0,256.1,298.15,101.0
tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.7849350649350635,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549874,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0,diethanolammonium,C(CO)[NH2+]CCO,777.0,777.0,2.4474728878763443,28.870765403276852,35.509609925153406,-0.12,6.880000000000001,5.88,5.88,5.535533905932739,3.4142135623730954,4.300204584935732,2.448952112961402,1.3132389992843965,0.6664471802110241,0.3269117531324617,4.300204584935732,2.448952112961402,1.3132389992843965,0.6664471802110241,0.3269117531324617,-2.465599999999999,25.831,106.145,7.0,94.049,4.0,3.0,2.0,3.0,3.0,4.0,44.0,0.0,57.07000000000001,42.97240705901943,15.529843393687743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.303276740850983,0.0,0.0,0.0,0.0,0.0,15.529843393687743,0.0,0.0,0.0,0.0,26.303276740850983,0.0,0.0,0.0,0.0,5.316788604006331,36.5163315305324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.213763929025836,13.089512811825152,0.0,0.0,0.0,5.316788604006331,0.0,10.213054789681411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,777.0,303.84,298.15,101.0
tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.7849350649350635,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549874,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0,2-hydroxyethanaminium,C(CO)[NH3+],777.0,777.0,1.9747448713915892,8.0,6.854752972273345,-0.08,3.92,2.92,1.9199999999999997,3.4142135623730954,1.914213562373095,2.5685339390596003,1.3162277660168376,0.5771601883432526,0.15811388300841892,0.0,2.5685339390596003,1.3162277660168376,0.5771601883432526,0.15811388300841892,0.0,-1.7793999999999994,14.8409,62.092,4.0,54.028,4.0,2.0,1.0,2.0,2.0,1.0,26.0,0.0,47.87000000000001,25.23831759143489,10.84019487200289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.151638370425491,0.0,0.0,0.0,0.0,0.0,10.84019487200289,0.0,0.0,0.0,0.0,13.151638370425491,0.0,0.0,0.0,0.0,5.733667477162185,18.2581657652662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,6.544756405912576,0.0,0.0,0.0,0.0,5.733667477162185,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,777.0,306.76,298.15,101.0
tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.7849350649350635,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549874,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0,"1-phenyl-2,3,5-trimethylpyrazolium",Cc1cc([n+](n1c2ccccc2)C)C,777.0,777.0,2.624831069190176,440.8453308698885,2116.4238939696234,-1.5699999999999998,9.003504046519026,3.2935878057314896,1.327741004193145,10.129392033067417,6.698377302757664,8.858528806137672,4.8060678604624805,3.5980596772959075,2.5630670961351227,1.7972381985692671,8.858528806137672,4.8060678604624805,3.5980596772959075,2.5630670961351227,1.7972381985692671,1.9186400000000001,56.41900000000004,187.266,14.0,172.14599999999996,0.0,2.0,1.0,0.0,2.0,1.0,72.0,2.0,8.809999999999997,84.400528612307,0.0,0.0,0.0,0.0,9.36360587029037,18.199101205384828,19.056471336613843,12.990104268152232,5.693927994848461,5.687386274683562,7.0476719826771905,5.693927994848461,0.0,0.0,4.681802935145185,0.0,4.681802935145185,7.0476719826771905,13.847474399381248,0.0,47.78605840046657,0.0,5.687386274683562,0.0,4.681802935145185,4.681802935145185,7.0476719826771905,13.847474399381248,11.387855989696922,36.398202410769656,0.0,5.687386274683562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.075242264380485,0.0,6.06636706846161,60.590587594656846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.361111111111111,22.63888888888889,0.0,777.0,418.4,298.15,101.0
tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.7849350649350635,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549874,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0,"N,N,N-triethyl-2-methoxyethan-1-aminium",CC[N+](CC)(CC)CCOC,777.0,777.0,3.8352571576460592,81.29886030284679,258.43649279970754,-0.08,10.92,5.555061483716949,3.2113198573127235,8.742640687119287,5.242640687119286,8.39099579189656,4.583154832685669,3.0067301621271105,2.782214066924526,1.4300983025030922,8.39099579189656,4.583154832685669,3.0067301621271105,2.782214066924526,1.4300983025030922,1.5093,48.62640000000002,160.28099999999995,11.0,138.10499999999996,0.0,2.0,1.0,0.0,2.0,6.0,68.0,0.0,9.23,70.74213832930799,9.219893811494673,0.0,0.0,0.0,0.0,0.0,20.771211599071872,7.1097975412775325,26.241151182250643,6.544756405912576,0.0,0.0,0.0,0.0,9.219893811494673,0.0,0.0,0.0,20.771211599071872,39.895705129440756,0.0,0.0,0.0,0.0,0.0,44.378735987135364,4.736862953800049,0.0,20.771211599071872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.151638370425491,24.117300075432354,7.1097975412775325,0.0,20.771211599071872,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1883333333333337,19.311666666666667,0.0,777.0,329.1,298.15,101.0
tetrafluoroborate,[B-](F)(F)(F)F,777.0,777.0,3.0237157840738176,19.11941547876375,3.6096404744368114,-0.2150649350649352,4.7849350649350635,0.8771858208710783,260.71382488733417,4.5,2.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,2.089208161226535,0.8728715609439696,0.4948716593053936,0.0,0.0,1.3,10.186000000000002,86.80400000000002,5.0,86.80400000000002,0.0,0.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,25.891662677549874,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25440835308271,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,7.25440835308271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26263557438497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-6.0,0.0,777.0,"N,N-diethyl-N-methylpropan-1-aminium",CCC[N+](C)(CC)CC,777.0,777.0,3.6173893085936086,64.96788691072807,83.09848478310953,-0.04,8.960000000000003,3.8869850486282487,2.850275963290916,7.328427124746192,4.181980515339464,7.275640720246147,4.017217237110113,2.9755660210841053,2.2903240845503867,1.0796691275336334,7.275640720246147,4.017217237110113,2.9755660210841053,2.2903240845503867,1.0796691275336334,1.8828,42.42440000000001,130.25499999999997,9.0,110.09499999999998,0.0,1.0,0.0,0.0,1.0,4.0,56.0,0.0,0.0,59.26365098540451,4.483030857694624,0.0,0.0,0.0,0.0,6.923737199690624,20.268296022307254,0.0,26.681941200414915,0.0,0.0,0.0,0.0,0.0,4.483030857694624,0.0,0.0,0.0,27.19203322199788,26.681941200414915,0.0,0.0,0.0,0.0,0.0,31.16497205810954,0.0,0.0,27.19203322199788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.53812169835836,0.0,0.0,27.818883581749066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2326388888888888,14.267361111111109,0.0,777.0,459.1,298.15,101.0
