name,smiles
"1-hexyl-3,5-dimethylpyridinium",c1c(C)c(CC)[n+](cc(C)1)CCCCCC
1-butyl-nicotinic acid butyl ester,c1c(C(=O)OCCCC)c[n+](cc1)CCCC
3-(2-cyanoethyl)-1-decyl-1H-imidazolium,CCCCCCCCCCn1cc[n+](c1)CCC#N
3-hexadecyl-1-methyl-1H-imidazolium,CCCCCCCCCCCCCCCCn1cc[n+](c1)C
"1-decyl-2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepinium",C1CCC2=[N+](CCCCCCCCCC)CCCN2C1
triethyl((2-methoxyethoxy)methyl)phosphonium,[P+](CC)(CC)(CC)COCCOC
"4-methyl-1-propyl-1,2,4-triazolium",C2=NN(C=[N+]2CC)C
3-(2-cyanoethyl)-1-hexyl-1H-imidazol-3-ium,C2=CN(C=[N+]2CCC#N)CCCCCC
3-(2-cyanoethyl)-1-octyl-1H-imidazolium,C2=CN(C=[N+]2CCC#N)CCCCCCCC
1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium,C2=CN(C=[N+]2CCC#N)CCOC
"1-hexyl-2-ethyl-3,5-dimethylpyridinium",CCCCCC[n+]1cc(C)cc(C)c1(CC)
"1-hexyl-3,5-dimethyl-2-pentylpyridinium",CCCCCC[n+]1cc(C)cc(C)c1(CCCCC)
"1-hexyl-2,3,5-trimethylpyridinium",CCCCCC[n+]1cc(C)cc(C)c1(C)
"1-butyl-3,5-dimethyl-2-pentylpyridinium",CCCC[n+]1cc(C)cc(C)c1(CCCCC)
"1-ethyl-3,5-dimethyl-2-pentylpyridinium",CC[n+]1cc(C)cc(C)c1(CCCCC)
2-ethyl-1-methylpyridinium,C[n+]1ccccc1(CC)
"1,2-diethylpyridinium",CC[n+]1ccccc1(CC)
"1H-Imidazolium, 3-butyl-1-methyl-,",C1=C[N+](CCCC)=CN1C
1-isobutenyl-3-methylimidazolium,C1=C[N+](C)=CN1C=C(C)C
triethylheptylphosphonium,[P+](CC)(CC)(CC)CCCCCCC
1-(2-cyanoethyl)-3-(2-hydroxyethyl)-1H-imidazolium,C1=C[N+](CCO)=CN1CCC#N
1-butyl-3-(2-cyanoethyl)-1H-imidazolium,C1=C[N+](CCCC)=CN1CCC#N
"2,3-dimethyl-1-pentylimidazolium",C1=C[N+](C)=C(C)N1CCCCC
1-metyl-3-propylimidazolium,C1=C[N+](C)=CN1CCC
"2-hydroxy-N,N,N-trimethylethanaminiume",OCC[N+](C)(C)C
3-allyl-1-(2-cyanoethyl)-1H-imidazolium,C1=C[N+](CC=C)=CN1CCC#N
1-hexyl-3-methylpyridinium,CCCCCCC[n+]1cc(C)ccc1
triethyloctylphosphonium,[P+](CC)(CC)(CC)CCCCCCCC
decyltriethylphosphonium,[P+](CC)(CC)(CC)CCCCCCCCCC
triethylnonylphosphonium,[P+](CC)(CC)(CC)CCCCCCCCC
trihexyl(tetradecyl)phosphonium,C(CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC)CCCCC
1-methyl-3-octylimidazolium,CCCCCCCCn1cc[n+](c1)C
1-butyl-3-methylimidazolium,CCCCn1cc[n+](c1)C
1-ethyl-3-methylimidazolium,CCn1cc[n+](c1)C
1-hexyl-3-methylimidazolium,CCCCCCn1cc[n+](c1)C
1-butyl-3-methylpyridinium,CCCC[n+]1cccc(c1)C
1-butyl-4-methylpyridinium,CCCC[n+]1ccc(cc1)C
1-butylpyridinium,CCCC[n+]1ccccc1
