anion,smiles
tributyl(methoxymethyl)phosphonium,CCCC[P+](CCCC)(CCCC)COC
"N,N-dibutyl-N-methylbutanaminium",CCCC[N+](C)(CCCC)CCCC
1-butyl-3-ethylimidazolium,c1c[n+](cn1CC)CCCC
butylthiolanium,CCCC[S+]1CCCC1
4-(2-methoxyethyl)-4-methylmorpholinium,O(CC[N+]1(C)CCOCC1)C
1-(2-methoxyethyl)-1-methylpiperidinium,C[N+]1(CCCCC1)CCOC
"N-ethyl-N,N-dimethyl-1-propanaminium",CCC[N+](C)(C)CC
"N-(2-hydroxyethyl)-N,N-dimethyl-1-propanaminium",CCC[N+](C)(C)CCO
1-(2-ethoxy-2-oxoethyl)-pyridinium,CCOC(=O)C[n+]1ccccc1
"2-acetoxy-N,N,N-trimethylethanaminium",CC(=O)OCC[N+](C)(C)C
1-(3-hydroxypropyl)pyridinium,c1cc[n+](cc1)CCCO
1-hexylquinolinium,CCCCCC[n+]1cccc2c1cccc2
diethanolammonium,C(CO)[NH2+]CCO
3-butyl-1-methyl-1H-imidazolium,C1=C[N+](CCCC)=CN1C
2-hydroxyethanaminium,C(CO)[NH3+]
"1-phenyl-2,3,5-trimethylpyrazolium",Cc1cc([n+](n1c2ccccc2)C)C
tris(2-hydroxyethyl) methylammonium,C[N+](CCO)(CCO)CCO
1-methyl-3-(2-phenylethyl)-1H-imidazolium,CN=2C[N+](/CCc1ccccc1)=C\C=2
1-methyl-3-(3-phenylpropyl)-1H-imidazolium,CN=2C[N+](/CCCc1ccccc1)=C\C=2
1-benzyl-3-methyl-1H-imidazol-3-ium,CN1C=C[N+](=C1)CC2=CC=CC=C2
"N,N,N',N'-tetramethylguanidine",CN(C)C(=[NH2+])N(C)C
2-methylpropylammonium,CC(C)C[NH3+]
pentylammonium,CCCCC[NH3+]
ethanolammonium,[NH3+]CCO
3-decyl-1-methyl-1H-imidazolium,c1c[n+](cn1CCCCCCCCCC)C
1-methyl-3-(4-sulfobutyl)-imidazolium,O=S(=O)(O)CCCCn1cc[n+](c1)C
1-butyl-3-(4-sulfobutyl)-imidazolium,O=S(=O)(O)CCCC[n+]1ccn(c1)CCCC
