"Heat capacity at constant pressure per unit volume, J/K/m<SUP>3</SUP>","Heat capacity at constant pressure, J/K/mol","Heat capacity at constant pressure<SUP>*</SUP>, J/K/mol","Pressure, kPa","Temperature, K",salt_name
,482.3,,101.325,298.1,"1-butyronitrile-2,3-dimethylimidazolium hexafluorophosphate"
,715,,101.325,298.1,"3-(3-cyanopropyl)-1,2-dimethylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,444.4,,101.325,298.1,"3-(3-cyanopropyl)-1,2-dimethylimidazolium cyanocyanamide"
,338.9,,101.325,298.1,"1-butyronitrile-2,3-dimethylimidazolium tetrafluoroborate"
,281.5,,101.325,298.1,"1-butyronitrile-2,3-dimethylimidazolium chloride"
,434.6,,101.325,298.1,1-(3-cyanopropyl)-3-methylimidazolium cyanocyanamide
,602,,101.325,298.1,"3-(3-cyanopropyl)-1-methylimidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,354.2,,101.325,298.1,1-butyronitrile-3-methylimidazolium hexafluorophosphate
,431.4,,101.325,298.1,1-butyronitrile-3-methylimidazolium tetrafluoroborate
,289.6,,101.325,298.1,3-(3-cyanopropyl)-1-methylimidazolium chloride
,456.2,,101.325,298.1,butyronitriletrimethylammonium bis(trifluoromethanesulfonyl)imide
,326.6,,101.325,298.1,Butyronitriletrimethylammonium hexafluorophosphate
,288.9,,101.325,298.1,Butyronitriletrimethylammonium tetrafluoroborate
,422.2,,101.325,298.1,N-butyronitrilepyridinium dicyanamide
,632,,101.325,298.1,N-butyronitrile pyridinium bis(trifluoromethanesulfonyl)imide
,420.7,,101.325,298.1,N-butyronitrile pyridinium hexafluorophosphate
,414.2,,101.325,298.1,N-butyronitrile pyridinium tetrafluoroborate
,222.8,,101.325,298.1,N-butyronitrile pyridinium chloride
,432,,101.325,298.15,1-hexyl-3-methylimidazolium tetrafluoroborate
,498,,101.325,298.15,1-methyl-3-octylimidazolium tetrafluoroborate
,325.9,,101.325,298.15,1-benzyl-3-methylimidazolium tetrafluoroborate
,599,,101.325,298.15,1-benzyl-3-methyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide
,510,,101.325,298.15,"1-benzyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate"
,435,,101.325,298.15,"1-benzyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate"
,360.4,,101.325,298.15,1-benzyl-3-methylimidazolium hexafluorophosphate
,304.6,,101.325,298.15,1-benzyl-3-methylimidazolium tetrafluoroborate
,338.4,,101.325,298.15,1-benzyl-3-methyl-1H-imidazolium chloride
,569.1,,101.325,298.15,1-nonyl-3-methylimidazolium hexafluorophosphate
,411.6,,101.325,298.15,1-butyl-3-methylimidazolium hexafluorophosphate
,536.2,,101.325,298.15,1-octyl-3-methylimidazolium hexafluorophosphate
,500,,101.325,298.15,1-heptyl-3-methylimidazolium hexafluorophosphate
,468.6,,101.325,298.15,1-hexyl-3-methylimidazolium hexafluorophosphate
,436.8,,101.325,298.15,1-methyl-3-pentylimidazolium hexafluorophosphate
,578,,101.325,298.15,"1-butyl-3-methylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,566,,101.325,298.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,579,,101.325,298.15,1-isobutyl-3-methylpyridinium bis((trifluoromethyl)sulfonyl)imide
,608,,101.325,298.15,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide
,565,,101.325,298.15,1-isobutyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]amide
,582,,101.325,298.15,1-isobutyl-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)imide
,584,,101.325,298.15,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
,653,,101.325,298.15,1-ethyl-2-pentylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
,594,,101.325,298.15,1-ethyl-2-propylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
,566,,101.325,298.15,"1,2-diethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide"
,811,,101.325,298.15,2-decyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
,624,,101.325,298.15,2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
,686,,101.325,298.15,1-ethyl-2-hexylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
,718,,101.325,298.15,1-ethyl-2-heptylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
,749,,101.325,298.15,1-ethyl-2-octylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
,778,,101.325,298.15,1-ethyl-2-nonylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide
,659.2,,101.325,298.15,1-heptyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
,690.2,,101.325,298.15,1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,820.2,,101.325,298.15,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide
,754.5,,101.325,298.15,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
,504.8,,101.325,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,534.9,,101.325,298.15,1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,565.9,,101.325,298.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,595.6,,101.325,298.15,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide
,629.4,,101.325,298.15,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,,84,101.325,365.8,"1-(cyanomethyl)-3-methylimidazolium 4,5-dicyano-2-(trifluoromethyl)imidazolide"
,842,,101.325,298.15,"N,N,N-triethyl-1-decanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,972,,101.325,298.15,"N,N,N-triethyltetradecan-1-aminium bis((trifluoromethyl)sulfonyl)amide"
,151.3,,101.325,298.1,"1,3-propanediol, 2-amino-2-(hydroxymethyl)-, hydrochloride"
,310,,101.325,298,1-butyl-3-methylimidazolium iodide
,412,,101.325,298.15,1-ethyl-3-methylimidazolium dimethylphosphate
,281.4,,101.325,298.15,1-ethyl-3-methylimidazolium thiocyanate
,314.6,,101.325,298.15,1-ethyl-3-methylimidazolium dicyanamide
,363,,101.325,298.15,1-ethyl-3-methylimidazolium trifluoromethanesulfonate
,321.9,,101.325,298.15,1-ethyl-3-methylimidazolium acetate
,346,,101.325,298.15,1-ethyl-3-methylimidazolium methanesulfonate
,298.1,,101.325,298.15,1-butyl-3-methylimidazolium tricyanomethane
,231.8,,101.325,298.15,3-(2-hydroxyethyl)-1-methyl-1H-imidazol-3-ium dicyanoazanide
,368,,101.325,298.15,1-butyl-3-methylpyridinium dicyanamide
,207.47,,101,298.15,ethylammonium nitrate
,70.3,,101.325,298.15,difluorogermylene
,444,,101.325,298.1,sodium dodecyl sulfate
,554,,101.325,338.1,sodium dodecyl sulfate
,468,,101.325,298,1-butyl-3-methylpyridinium tricyanomethanide
,479,,101.325,323,1-butyl-3-methylpyridinium tricyanomethanide
,524,,101.325,298.2,1-butyl-1-methylpyrrolidinium tetracyanoborate
,554,,101.325,323.2,1-butyl-1-methylpyrrolidinium tetracyanoborate
,495,,101.325,298.2,1-butyl-3-methylpyridinium tetracyanoborate
,524,,101.325,323.2,1-butyl-3-methylpyridinium tetracyanoborate
,323,,101.325,298.15,1-butyl-3-methylimidazolium chloride
,334,,101.325,323.15,1-butyl-3-methylimidazolium chloride
,524,,101.325,298.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,532,,101.325,323.15,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,536,,101.325,298.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,544,,101.325,323.15,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,397.6,,101.325,298.15,1-butyl-3-methylimidazolium hexafluorophosphate
,405.1,,101.325,323.15,1-butyl-3-methylimidazolium hexafluorophosphate
,375.3,,101.325,330.15,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
,406.5,,101.325,372.15,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
,365,,101.325,298.15,1-butyl-3-methylimidazolium dicyanamide
,370,,101.325,323.15,1-butyl-3-methylimidazolium dicyanamide
,317,,101.325,298.15,1-butyl-3-methylimidazolium bromide
,324,,101.325,323.15,1-butyl-3-methylimidazolium bromide
,417.2,,101.325,298.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate
,423.1,,101.325,323.15,1-butyl-3-methylimidazolium trifluoromethanesulfonate
,492.7,,101.325,309.15,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
,499,,101.325,323.15,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
,433.6,,101.325,298.15,"1-butyl-2,3-dimethylimidazolium hexafluorophosphate"
,449.1,,101.325,323.15,"1-butyl-2,3-dimethylimidazolium hexafluorophosphate"
,554,,101.325,298.15,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
,559,,101.325,323.15,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
,628,,101.325,298,"1-hexyl-4-(4-methyl-1-piperidinyl)pyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,650,,101.325,323,"1-hexyl-4-(4-methyl-1-piperidinyl)pyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,766,,101.325,298,"3,5-diethyl-1-hexyl-2-propylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,799,,101.325,323,"3,5-diethyl-1-hexyl-2-propylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,620,,101.325,298,"1-hexyl-3,5-dimethylpyridinium bis(trifluoromethylsulfonyl)imide"
,665,,101.325,323,"1-hexyl-3,5-dimethylpyridinium bis(trifluoromethylsulfonyl)imide"
,624,,101.325,298,"1-hexyl-3-methylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,644,,101.325,323,"1-hexyl-3-methylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,343,,101.325,298,1-hexyl-3-methylpyridinium bromide
,358,,101.325,323,1-hexyl-3-methylpyridinium bromide
,612,,101.325,298,1-hexylpyridinium bis(trifluromethylsulfonyl)imide
,632,,101.325,323,1-hexylpyridinium bis(trifluromethylsulfonyl)imide
,707,,101.325,298,1-butyl-nicotinic acid butyl ester bis[(trifluoromethyl)sulfonyl]imide
,727,,101.325,323,1-butyl-nicotinic acid butyl ester bis[(trifluoromethyl)sulfonyl]imide
,405,,101.325,298,1-butyl-3-methylpyridinium tetrafluoroborate
,421,,101.325,323,1-butyl-3-methylpyridinium tetrafluoroborate
,725,,101.325,298,"1-hexyl-3-methyl-4-(dimethylamino)pyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,764,,101.325,323,"1-hexyl-3-methyl-4-(dimethylamino)pyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,669,,101.325,298,1-octyl-3-methylpydridinium bis(trifluoromethylsulfonyl)imide
,693,,101.325,323,1-octyl-3-methylpydridinium bis(trifluoromethylsulfonyl)imide
,643,,101.325,298,1-butyl-3-methylimidazolium 2-(2-methoxyethoxy)ethyl sulfate
,652,,101.325,323,1-butyl-3-methylimidazolium 2-(2-methoxyethoxy)ethyl sulfate
,344,,101.325,298,3-hexyl-1-methyl-1H-imidazolium bromide
,357,,101.325,323,3-hexyl-1-methyl-1H-imidazolium bromide
,583,,101.325,298,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,604,,101.325,323,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,686,,101.325,298,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
,705,,101.325,323,"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
,725,,101.325,298,"1-methyl-3-(3,3,4,4,5,5,6,6,6-nonafluorohexyl)-1H-imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,752,,101.325,323,"1-methyl-3-(3,3,4,4,5,5,6,6,6-nonafluorohexyl)-1H-imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,1320,,101.325,298,tetrabutylammonium docusate
,1380,,101.325,323,tetrabutylammonium docusate
,1070,,101.325,298,"17-hydroxy-N-(17-hydroxy-3,6,9,12,15-pentaoxaheptadec-1-yl)-N-methyl-N-tetradecyl-3,6,9,12,15-pentaoxaheptadecan-1-aminium methyl sulfate"
,1100,,101.325,323,"17-hydroxy-N-(17-hydroxy-3,6,9,12,15-pentaoxaheptadec-1-yl)-N-methyl-N-tetradecyl-3,6,9,12,15-pentaoxaheptadecan-1-aminium methyl sulfate"
,654,,101.325,298,1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,677,,101.325,323,1-octyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
,392,,101.325,298,1-methyl-3-octylimidazolium bromide
,408,,101.325,323,1-methyl-3-octylimidazolium bromide
,506,,101.325,298,1-methyl-3-octylimidazolium tetrafluoroborate
,526,,101.325,323,1-methyl-3-octylimidazolium tetrafluoroborate
,416,,101.325,298,1-hexyl-3-methylimidazolium tetrafluoroborate
,433,,101.325,323,1-hexyl-3-methylimidazolium tetrafluoroborate
,389,,101.325,298,1-ethyl-3-methylpyridinium ethylsulfate
,402,,101.325,323,1-ethyl-3-methylpyridinium ethylsulfate
,622,,101.325,298,"1-butyl-3-methylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,641,,101.325,323,"1-butyl-3-methylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,513,,101.325,298,3-(ethoxycarbonyl)-1-ethylpyridinium ethylsulfate
,530,,101.325,323,3-(ethoxycarbonyl)-1-ethylpyridinium ethylsulfate
,296.8,,101.325,288.1,1-butyl-3-methylimidazolium nitrate
,298.6,,101.325,290,1-butyl-3-methylimidazolium nitrate
,300.5,,101.325,292.2,1-butyl-3-methylimidazolium nitrate
,344,,101.325,280,1-butyl-3-methylimidazolium trifluoroacetate
,353.9,,101.325,290,1-butyl-3-methylimidazolium trifluoroacetate
,360.4,,101.325,296.42,1-butyl-3-methylimidazolium trifluoroacetate
,318,,101.325,288.69,1-ethyl-3-methylimidazolium hexafluorophosphate
,324,,101.325,293.815,1-ethyl-3-methylimidazolium hexafluorophosphate
,331,,101.325,298.965,1-ethyl-3-methylimidazolium hexafluorophosphate
,598,,101.325,278.445,1-dodecyl-3-methylimidazolium hexafluorophosphate
,602,,101.325,283.576,1-dodecyl-3-methylimidazolium hexafluorophosphate
,608,,101.325,288.65,1-dodecyl-3-methylimidazolium hexafluorophosphate
,331,,101.325,288.15,1-ethyl-3-methylimidazolium methylsulfate
,341,,101.325,298.15,1-ethyl-3-methylimidazolium methylsulfate
,347,,101.325,308.15,1-ethyl-3-methylimidazolium methylsulfate
,1274,,101.325,305.5,3-hexadecyl-1-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide
,1229,,101.325,310,3-hexadecyl-1-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide
,1044,,101.325,319.25,3-hexadecyl-1-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide
,332.6,,101.325,351.35,1-butyl-3-methylimidazolium bromide
,336.3,,101.325,360,1-butyl-3-methylimidazolium bromide
,340.9,,101.325,370,1-butyl-3-methylimidazolium bromide
,424,,101.325,288.15,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate
,435,,101.325,298.15,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate
,441,,101.325,308.15,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate
,367,,101.325,288.15,1-butyl-3-methylimidazolium dicyanamide
,376,,101.325,298.15,1-butyl-3-methylimidazolium dicyanamide
,381,,101.325,308.15,1-butyl-3-methylimidazolium dicyanamide
,510,,101.325,288.15,1-hexyl-3-methylimidazolium dicyanamide
,534,,101.325,298.15,1-hexyl-3-methylimidazolium dicyanamide
,548,,101.325,308.15,1-hexyl-3-methylimidazolium dicyanamide
,288,,101.325,288.15,1-methylpyridinium methylsulfate
,299,,101.325,298.15,1-methylpyridinium methylsulfate
,305,,101.325,308.15,1-methylpyridinium methylsulfate
,399,,101.325,288.15,"1,2-diethylpyridinium ethylsulfate"
,412,,101.325,298.15,"1,2-diethylpyridinium ethylsulfate"
,420,,101.325,308.15,"1,2-diethylpyridinium ethylsulfate"
,473,,101.325,288.15,1-butyl-1-methylpyrrolidinium dicyanamide
,502,,101.325,298.15,1-butyl-1-methylpyrrolidinium dicyanamide
,521,,101.325,308.15,1-butyl-1-methylpyrrolidinium dicyanamide
,400,,101.325,298,3-(2-azido-3-(1-methyl-1H-imidazol-3-ium-3-yl)propyl)-1-vinyl-1H-imidazol-3-ium di(dicyanamide)
,410,,101.325,303,3-(2-azido-3-(1-methyl-1H-imidazol-3-ium-3-yl)propyl)-1-vinyl-1H-imidazol-3-ium di(dicyanamide)
,452,,101.325,323,3-(2-azido-3-(1-methyl-1H-imidazol-3-ium-3-yl)propyl)-1-vinyl-1H-imidazol-3-ium di(dicyanamide)
,709,,101.325,298.15,"3-cyano-1-octylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,721,,101.325,323.15,"3-cyano-1-octylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,731,,101.325,353.15,"3-cyano-1-octylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,633,,101.325,298.15,1-hexyl-4-cyanopyridinium bis(trifluoromethylsulfonyl)imide
,643,,101.325,323.15,1-hexyl-4-cyanopyridinium bis(trifluoromethylsulfonyl)imide
,652,,101.325,353.15,1-hexyl-4-cyanopyridinium bis(trifluoromethylsulfonyl)imide
,586,,101.325,298.15,1-butyl-3-cyanopyridinium bis(trifluoromethylsulfonyl)imide
,596,,101.325,323.15,1-butyl-3-cyanopyridinium bis(trifluoromethylsulfonyl)imide
,605,,101.325,353.15,1-butyl-3-cyanopyridinium bis(trifluoromethylsulfonyl)imide
,658,,101.325,298.15,"3-cyano-1-hexylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,669,,101.325,323.15,"3-cyano-1-hexylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,681,,101.325,353.15,"3-cyano-1-hexylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
,380.7,,101.325,298.15,sodium dodecyl sulfate
,389.3,,101.325,303.15,sodium dodecyl sulfate
,406.6,,101.325,313.15,sodium dodecyl sulfate
,391.6,,101,293.15,1-ethyl-3-methylimidazolium diethylphosphate
,398.5,,101,303.15,1-ethyl-3-methylimidazolium diethylphosphate
,406.5,,101,313.15,1-ethyl-3-methylimidazolium diethylphosphate
,411.9,,101,323.15,1-ethyl-3-methylimidazolium diethylphosphate
,288,,101.325,278.2,1-butyl-3-methylimidazolium nitrate
,289.6,,101.325,280,1-butyl-3-methylimidazolium nitrate
,294.1,,101.325,285,1-butyl-3-methylimidazolium nitrate
,296.8,,101.325,288.1,1-butyl-3-methylimidazolium nitrate
,303.2,,101.325,293.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,304.6,,101.325,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,306.2,,101.325,303.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,307.8,,101.325,308.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,303.2,,101.325,293.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,304.6,,101.325,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,306.2,,101.325,303.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,307.8,,101.325,308.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,303,,100,293.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,305,,100,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,307,,100,303.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,309,,100,308.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,303.7,,101.325,293.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,305.4,,101.325,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,306.2,,101.325,303.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,308.9,,101.325,308.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,303.7,,101.325,293.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,305.4,,101.325,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,306.2,,101.325,303.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,308.9,,101.325,308.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,303.2,,101.325,293.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,304.6,,101.325,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,306.2,,101.325,303.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,307.8,,101.325,308.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,304,,101.325,293.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,305,,101.325,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,306,,101.325,303.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,309,,101.325,308.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,303.4,,101.325,293.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,305.1,,101.325,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,306.8,,101.325,303.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,308.6,,101.325,308.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,393.6,,101.325,278.51,"1-benzyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate"
,402.1,,101.325,283.62,"1-benzyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate"
,411.2,,101.325,288.72,"1-benzyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate"
,423.4,,101.325,293.83,"1-benzyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate"
,417.4,,101.325,345.5,1-benzyl-3-methylimidazolium tetrafluoroborate
,420.2,,101.325,350,1-benzyl-3-methylimidazolium tetrafluoroborate
,423.4,,101.325,355,1-benzyl-3-methylimidazolium tetrafluoroborate
,424.9,,101.325,357.55,1-benzyl-3-methylimidazolium tetrafluoroborate
,504,,101.325,258.072,1-decyl-3-methylimidazolium hexafluorophosphate
,507,,101.325,263.171,1-decyl-3-methylimidazolium hexafluorophosphate
,512,,101.325,268.309,1-decyl-3-methylimidazolium hexafluorophosphate
,518,,101.325,273.408,1-decyl-3-methylimidazolium hexafluorophosphate
,366.8,,101.325,339.644,1-ethyl-3-methylimidazolium hexafluorophosphate
,368.9,,101.325,344.795,1-ethyl-3-methylimidazolium hexafluorophosphate
,371.8,,101.325,349.856,1-ethyl-3-methylimidazolium hexafluorophosphate
,373.7,,101.325,355.057,1-ethyl-3-methylimidazolium hexafluorophosphate
,317.7,,101.325,218.22,1-butyl-3-methylimidazolium hexafluorophosphate
,285.9,,101.325,220.12,1-butyl-3-methylimidazolium hexafluorophosphate
,286.7,,101.325,222.07,1-butyl-3-methylimidazolium hexafluorophosphate
,287.5,,101.325,224.04,1-butyl-3-methylimidazolium hexafluorophosphate
,1155,,101.325,295.5,1-tetradecyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,971.6,,101.325,298.15,1-tetradecyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,851.8,,101.325,300,1-tetradecyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,898.6,,101.325,308.77,1-tetradecyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,619.2,,101.325,252,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
,648.7,,101.325,260,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
,687.6,,101.325,270,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
,717.5,,101.325,277.33,1-decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)amide
,264.8,,101.325,349.92,1-ethyl-3-methylimidazolium bromide
,264.8,,101.325,350,1-ethyl-3-methylimidazolium bromide
,268.6,,101.325,360,1-ethyl-3-methylimidazolium bromide
,272.4,,101.325,370,1-ethyl-3-methylimidazolium bromide
,283,,101.325,298.15,"1,3-dimethylimidazolium dimethylphosphate"
,297,,101.325,303.15,"1,3-dimethylimidazolium dimethylphosphate"
,311,,101.325,313.15,"1,3-dimethylimidazolium dimethylphosphate"
,321,,101.325,323.15,"1,3-dimethylimidazolium dimethylphosphate"
,303.2,,100,293.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,304.5,,100,298.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,306.3,,100,303.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,308,,100,308.15,1-ethyl-3-methylimidazolium tetrafluoroborate
,362.4,,100,293.15,1-butyl-3-methylimidazolium tetrafluoroborate
,365.1,,100,298.15,1-butyl-3-methylimidazolium tetrafluoroborate
,367.5,,100,303.15,1-butyl-3-methylimidazolium tetrafluoroborate
,369.9,,100,308.15,1-butyl-3-methylimidazolium tetrafluoroborate
,413,,100,293.15,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
,416,,100,298.15,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
,418.8,,100,303.15,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
,421.7,,100,308.15,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
,411.5,,100,250,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,427.1,,100,260,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,446.8,,100,270,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,447,,100,270.22,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
,290.8,,101.325,397.309,1-ethylpyridinium bromide
,292.6,,101.325,400.484,1-ethylpyridinium bromide
,295.6,,101.325,403.532,1-ethylpyridinium bromide
,298,,101.325,406.667,1-ethylpyridinium bromide
,300.3,,101.325,409.65,1-ethylpyridinium bromide
,300.5,,101.325,292.2,1-butyl-3-methylimidazolium nitrate
,303,,101.325,295,1-butyl-3-methylimidazolium nitrate
,305.8,,101.325,298.15,1-butyl-3-methylimidazolium nitrate
,307.5,,101.325,300,1-butyl-3-methylimidazolium nitrate
,315.6,,101.325,309.16,1-butyl-3-methylimidazolium nitrate
,543.4,,101.325,343.89,1-butyl-3-methylimidazolium tosylate
,548.4,,101.325,350,1-butyl-3-methylimidazolium tosylate
,556,,101.325,360,1-butyl-3-methylimidazolium tosylate
,563.1,,101.325,370,1-butyl-3-methylimidazolium tosylate
,569.8,,101.325,380,1-butyl-3-methylimidazolium tosylate
