,0
Unique salts,177
Cations,"array(['CCCC[n+]1ccc(cc1)C', 'CCCCn1cc[n+](c1C)C',
       'CCCCCCCCn1cc[n+](c1)C', 'CCCCn1cc[n+](c1)C', 'CCn1cc[n+](c1)C',
       'CCCCCCn1cc[n+](c1)C', 'CCCC[n+]1cccc(c1)C', 'CCCC[n+]1ccccc1',
       'CCC[n+]1ccccc1', 'CCCCCCCC[n+]1cccc(c1)C', 'CCCCC[n+]1ccccc1',
       'CCCCCCCCCCn1cc[n+](c1)C', 'CC[n+]1ccccc1', 'c1c[n+](cn1CCCCC)C',
       'c1c[n+](cn1CCCCCCC)C', 'c1c[n+](cn1CCCCCCCCC)C',
       'CCCC[N+]1(CCCC1)C', 'CCCC[N+](C)(C)C', 'CCCC[n+]1cccc(c1)C#N',
       'CCC[N+]1(CCCCC1)C', 'CCCCCCCCCCCCCCn1cc[n+](c1)C',
       'CCCC[n+]1ccn(c1)Cc2ccccc2', 'CCCC[N+]1=C(NC=C1)C2=CC=CC=C2',
       'c1c(C)c[n+](cc1)CCCCCCCC', 'c1c(C)c(CC)[n+](cc(C)1)CCCCCC',
       'c1c(C(=O)OCCCC)c[n+](cc1)CCCC', 'CCC[n+]1cccc(c1)C',
       'CCCCCC[n+]1ccc(C#N)cc1',
       'C(CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC)CCCCC', 'C[n+]1cc[nH]c1',
       'C[n+]1ccccc1', 'CCCn1cc[n+](c1)C', 'CCCCCCCC[n+]1ccc2ccccc2c1',
       'C[NH+]1CN(C=C1)CC2=CC=CC=C2', 'N#CCCCn1cc[n+](c1)C',
       'CCCCCCC[n+]1cc(C)ccc1', 'CCCCCC[n+]1cc[n](c1)C',
       'CC[n+]1cn(cc1)C', 'C(CCCCCCCC[N+](CC)(CC)CC)C',
       'CCCCCCCC[n+]1cccc(c1)C#N', 'CN(C)c1c(C)c[n+](cc1)CCCCCC',
       'C2(C)CCN(CC2)c1cc[n+](cc1)CCCCCC', 'CCCCCC[n+]1cccc(C#N)c1',
       'CCCC[N+]1(CCCCC1)C', 'Cn1cc[n+](c1)C', 'OCC[NH2+]C',
       '[P+](CCCC)(CCCC)(CCCC)(CC)', 'C[n+]1ccn(c1)CCO', 'C1CC[NH2+]C1',
       'CC[NH3+]', 'CCCC[P+](CCCC)(CCCC)CCCC', 'CCCC[N+](C)(CCCC)CCCC',
       'CCCn1cc[n+](c1C)C', 'CCn1cc[n+](c1C)C', 'CCC[N+]1(CCCC1)C',
       'Cn1cc[n+](c1C)CCCCCC', '[P+](CC)(CC)(CC)(CCCCCCCC)',
       'CCCCCC[n+]1cccc2c1cccc2', 'C1=C[N+](C)=CN1CCCCCCCCCC',
       'CCCCCCCCCCCC[N+](CC)(CC)CC', 'CCCCCCCCCCCCCC[N+](CC)(CC)CC',
       'CC[n+]1ccc(cc1)C', 'CCCC[N+]1=CN(C2=CC=CC=C21)',
       'CN1C=C[N+](=C1)CC2=CC=CC=C2', 'CCCCCCCCCCCCCCCCn1cc[n+](c1)C',
       'CCCCCCCC[n+]1ccccc1', 'CC[n+]1cccc(c1)C', 'CC[n+]1ccccc1C',
       'CCCC[n+]1ccccc1CC', 'CC[n+]1ccccc1CC',
       'N#Cc1c(c(c([nH+]c1N)CC(C)C)C)c2ccccc2Cl',
       'CC[n+]1cccc(c1(CCCCC))', 'C[N+]1(CCCC1)CC(C)(C)',
       'CCC[n+]1ccccc1CC', 'CCCCCC[n+]1ccccc1CC', 'CCCCCCCC[n+]1ccccc1CC',
       'CCCCCCC[n+]1ccccc1CC', '[P+](CC)(CC)(CC)(CCCCCC)',
       'CC[n+]1ccccc1(CC)', 'O=C(OCC)c1ccc[n+](c1)CC',
       'CCCCCC[n+]1ccccc1', 'c1c[n+](cn1CC(C)C)C',
       'CCCC[n+]1ccc(N(C)C)c(c1)', 'CCCC[N+](CCCC)(CCCC)CCCC'],
      dtype=object)"
Anions,"array(['[B-](F)(F)(F)F', 'F[P-](F)(F)(F)(F)F', 'N#C[B-](C#N)(C#N)C#N',
       'C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F', 'C(#N)[N-]C#N',
       'C(F)(F)(F)S(=O)(=O)[O-]', 'CS(=O)(=O)[O-]', 'Cl[Fe-](Cl)(Cl)Cl',
       'COS(=O)(=O)[O-]', '[I-]', 'C(#N)[C-](C#N)C#N', 'C(#N)[S-]',
       'CC(=O)[O-]', '[Cl-]', '[Br-]',
       'CC(CC(C)(C)C)CP(=O)(CC(C)CC(C)(C)C)[O-]', 'C(=C(C#N)C#N)=[N-]',
       'COP(=O)([O-])OC', 'CCCCC(=O)[O-]', 'CCCC(=O)[O-]', 'CCC(=O)[O-]',
       'CCOP(=O)([O-])OCC', 'C(=[N-])=NC#N', '[N+](=O)([O-])[O-]',
       'C(C(=O)[O-])N', 'C(=O)(C(F)(F)F)[O-]', 'C(CS(=O)(=O)[O-])N',
       'C(CCN)C[C@@H](C(=O)[O-])N', 'C[C@H]([C@@H](C(=O)[O-])N)O',
       'C([C@@H](C(=O)[O-])N)S', 'C(C(F)(F)S(=O)(=O)[O-])(F)F',
       'CC(C)[C@@H](C(=O)[O-])N',
       'C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F',
       'FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F', 'C[C@@H](C(=O)[O-])N',
       'C([C@@H](C(=O)[O-])N)O', 'C1C[C@H](NC1)C(=O)[O-]',
       'CCOS(=O)(=O)[O-]', 'CC1=CC=C(C=C1)S(=O)(=O)[O-]',
       'C1=CC=C(C=C1)[O-]', 'C([C@@H](C(=O)[O-])N)C(=O)N',
       'CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-]',
       'CCCCCCCCOS(=O)(=O)[O-]', 'OS(=O)(=O)[O-]',
       'COCCOCCOS(=O)(=O)[O-]'], dtype=object)"
Total datapoints,1734
cpt,207.47 - 2290.0
Temperature range (K),100.0 - 101.325
Pressure range (kPa),297.04 - 315.95
