,0
Unique salts,461
Cations,"array(['CCCC[n+]1ccc(cc1)C', 'CCCn1cc[n+](c1C)C', 'CCCCn1cc[n+](c1C)C',
       'CCCn1cc[n+](c1)C', 'C(CO)[NH3+]',
       'C2=CC=CC=C2[N+]1=C(C)(C=C(N1CCCCC)C)',
       'C2=CC=CC=C2[N+]1=C(C)(C=C(N1CCCCCC)C)', 'CCCCCCCCn1cc[n+](c1)C',
       'CCCCn1cc[n+](c1)C', 'CCn1cc[n+](c1)C', 'CCCCCCn1cc[n+](c1)C',
       'CCCC[n+]1cccc(c1)C', 'CCCC[n+]1ccccc1', 'CCC[n+]1ccccc1',
       'CCCCCCCC[n+]1cccc(c1)C', 'CCCCCCCCCCn1cc[n+](c1)C',
       'CCCCCC[n+]1ccccc1', 'c1c[n+](cn1CCCCC)C', 'C[n+]1ccn(c1)CCO',
       'CCCCCCCC[n+]1ccccc1', 'C[NH+](C)C=O', 'OCC[NH+](C)CCO',
       '[N+](CC)(CC)(C)(CCOC)', 'n1cc[nH+](c1)C', 'OCC[N+](C)(C)CCCCCC',
       'C[NH+]1C(CCC1)=O', 'Cn1cc[n+](c1)COCCCCCC', 'Cn1cc[n+](c1)CCN',
       'c1c[n+](cn1CC)CCCC', 'c1cn(c([n+]1CCCc2ccccc2))C',
       'c1c[n+](cn1CCCCCCC)C', 'c1c[n+](cn1CCCCCCCCC)C', 'C[n+]1cc[nH]c1',
       'Cn1c[n+](cc1)CCC', 'CCCC[N+]1(CCCC1)C', 'Cn1cc[n+](c1)CCCCCCCCCC',
       'CCCCCCCCCC[N+]1(C)CCOCC1', 'CCCC[N+](C)(C)C',
       'CCCC[n+]1cccc(c1)C#N', 'CCC[N+]1(CCCCC1)C',
       'CCCCCCCCCCCCCCn1cc[n+](c1)C', 'c1c(C)c(CC)[n+](cc(C)1)CCCCCC',
       'CCCCCC[n+]1cc(C)cc(C)c1(CCCCC)', 'CCCCCC[n+]1cc(C)cc(C)c1(C)',
       'CCCC[n+]1cc(C)cc(C)c1(CCCCC)', 'CC[n+]1cc(C)cc(C)c1(CCCCC)',
       'CCC[n+]1cccc(c1)C', 'c1cc[n+](cc1)CCO', 'CCCCCCCCCC[n+]1ccccc1',
       'CCCCCCCCCCCC[n+]1ccccc1', 'CCCC[n+]1ccc(cc1)C#N',
       'COCCOCC[N+](C)(C)CC', 'CCCCCC[n+]1ccc(C#N)cc1',
       '[P+](CC)(CC)(CC)(CCCCC)', 'CCCCC[n+]1ccccc1', 'CC[n+]1ccccc1',
       'C(CCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC)CCCCC', 'C[n+]1ccn(c1)CC=C',
       'C[n+]1ccn(c1)CCCl', 'CCCC[N+]1(CCCCC1)C',
       'C1=C[N+](CC(CBr)N=[N+]=[N-])=CN1C', 'CCC[NH+](C)CCC',
       'CCC[NH+](C)C', 'C=C\\C[NH+](C)C', '[NH3+]C(CC)CC',
       'CC[NH+](CC)CC=C', 'CCC[NH+](CC)CC', 'C[NH+](CC=C)CC=C',
       'C1=C[N+](CCC#N)=CN1CCCCCC', 'C1=C[N+](CCC#N)=CN1CCCCCCCC',
       'Cc1cc([n+](n1c2ccccc2)C)C', 'C2=CC=CC=C2[N+]1=C(C)(C=C(N1CCCC)C)',
       'C2=CC=CC=C2[N+]1=C(C)(C=C(N1CCCCCCC)C)', 'Cn1cc[n+](c1)C',
       'C[n+]1ccccc1', 'CCCCCCCC[n+]1cc[n](c1)C',
       'c1c[n+](cn1CCCCCCCCCC)C', 'C1CCC2=[N+](CCCCCCCCCC)CCCN2C1',
       'CCCCCCCC[n+]1ccc2ccccc2c1', 'OCC[NH2+]C', 'CCC[NH3+]',
       'C[N+]1=C(CCC1)O', 'CC[NH+](C)C', 'CC[NH+]1C=CN=C1', 'CC[NH3+]',
       'CC[NH2+]CC', 'C[NH+](C)C', 'CC[NH+](CC)CC',
       '[P+](CCCC)(CCCC)(CCCC)(CCCCCCCC)', 'OCCCCCC([n+]1ccn(c1)C)',
       'c1cn(c([n+]1Cc2ccccc2))CCC#N', 'C2=CN(C=[N+]2CCC#N)CCCCCC',
       'C1=C[N+](CCO)=CN1CCC#N', 'C1=C[N+](CC=C)=CN1CCC#N',
       'C[NH+]1CN(C=C1)CC2=CC=CC=C2', 'N#CCCn1cc[n+](c1)CCCC',
       'CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC', 'CCCCn1cc[n+](c1)CCCCCCO',
       'OCCCCCC[nH+]1cc[n](c1)', 'OCCCCCC[n+]1cc[n](c1)CC',
       'CCCCCCCCCCn1cc[n+](c1)CCC#N', 'C2=CN(C=[N+]2CCC#N)CCCCCCCC',
       'C1=C[N+](CCCC)=CN1CCC#N', 'c1c[n+](cn1CC(C)C)C',
       'CCC[N+]1(CCCC1)C', 'CCCCCC[n+]1cc[n](c1)C', 'CC[n+]1cn(cc1)C',
       'C(CCCCCCCC[N+](CC)(CC)CC)C', 'CCCCCCCC[n+]1cccc(c1)C#N',
       'CCC[N+](C)(C)CC', 'CCOC(=O)C[n+]1ccccc1',
       'c1cn(c([n+]1CCc2ccccc2))C', 'C[N+]1=C(C)(C=C(N1CC)C)',
       'CN(C)c1c(C)c[n+](cc1)CCCCCC', 'CCCCCC[n+]1cc(C)cc(C)c1(CC)',
       'CCCCCCC[n+]1cc(C)ccc1', 'CC(=O)OCC[N+](C)(C)CC',
       'CCCCCC[n+]1cccc(C#N)c1', 'CCCCCC[n+]1ccc(cc1)C',
       'CC[NH+]=C(N(C)C)N(C)C', 'C1=C[N+](CCCC)=CN1C', 'C[N+](C)(C)CCO',
       'OCC[N+](C)(C)C', 'C(CO)[NH2+]CCO', 'CC(C)C[NH3+]', 'CCCCC[NH3+]',
       '[NH3+]CC(C)CC', 'CC(C[NH3+])O', 'C[NH3+]',
       '[P+](CCCC)(CCCC)(CCCC)(CC)', '[P+](CC(C)C)(CC(C)C)(CC(C)C)C',
       'N#CCCCn1cc[n+](c1)C', '[NH3+]CCO', 'C1CC[NH2+]C1', 'CCCC[NH3+]',
       'CCCCCCCCCCCCCCCCCC1OCC(O1)COCCCCCC[N+]2(CCOCC2)C',
       'CCCCCC[N+]1(CCCC1)C', 'CCCCCC[N+]1(CCCCC1)C', 'CC[N+]1(CCOCC1)C',
       'CC[N+]1(CCCC1)C', 'C[N+]1(CCOCC1)CCCC', 'CCCCCCCC[N+]1(CCOCC1)C',
       'CCCCCCCC[N+]1(CCCC1)C', 'CCCCCC[n+]1cc[n](c1)CCC#N',
       'CCCC[P+](CCCC)(CCCC)CCCC', 'CCCC[N+](C)(CCCC)CCCC',
       '[P+](CCCC)(CCCC)(CCCC)CCCN', 'CN(C)C(=[N+](C)C)N',
       'O=S(=O)(O)CCCCn1cc[n+](c1)C', 'C[N+]1(CCCC1)CCOC',
       '[S+](C)(CC)(CC)', 'CCn1cc[n+](c1C)C', 'c1cn(c([n+]1C(C)(C)))C',
       'c1cn(c([n+]1C))CCCCC(C)C', 'c1c[n+](cn1CC)CC',
       'c1c[n+](cn1CCC(C)C)C', 'CC(C)CCCn1cc[n+](c1)C',
       'Cn1cc[n+](c1C)CCCCCC', '[P+](CC)(CC)(CC)(CCCCCCC)',
       '[P+](CC)(CC)(CC)(CCCCCCCC)', 'c1cc[n+](cc1)CCCO',
       'O(CCC[N+]1(C)CCOCC1)', 'C1=C[N+](C)=CN1CCCCCCCCCC',
       'CCCCCCCCCCC[n+]1ccn(c1)C', 'CCCCCCCCCCCC[N+](CC)(CC)CC',
       'CCCCCCCCCCCCCC[N+](CC)(CC)CC', 'CC[n+]1ccc(cc1)C',
       'CCCCCCCCCCn1cc[n+](c1)CCCCCCCCCC', 'CCC[N+](C)(C)CCO',
       'CC(=O)OCC[N+](C)(C)C', 'CN1C=C[N+](=C1)CC2=CC=CC=C2',
       'c1c[n+](cn1CCCC)CCC(C)C', 'C2=CN(C=[N+]2CCC#N)CCOC',
       'c1c[n+](cn1CCC)CCC', 'c1c[n+](cn1CCCCCCCCC)CCCCCCCCC',
       'C[n+]1ccn(c1)CC#N', 'CC[n+]1cccc(c1)C', 'CC[n+]1ccccc1C',
       'C[N+](C)(C)CCCC(=O)O', 'CCC[N+](C)(C)C', 'CCCCCCC[N+](C)(C)CC',
       'CCn1cc[n+](c1)CC(=O)NCCCC', 'C1=C[N+](CCCCCCCC)=CN1CCCCCCCC',
       'C1=C[N+](CCCCCC)=CN1CCCCCC', 'C1=C[N+](CCCCCCC)=CN1CCCCCCC',
       'C1=C[N+](CCCCC)=CN1CCCCC', 'C1=C[N+](CCC)=CN1CCC', 'CC[S+](CC)CC',
       'c1c[n+](cn1CCCC)CCCCC', 'c1cn(c([n+]1C2CCCC2))CCCC',
       '[P+](CC)(CC)(CC)(CCCCCC)', 'CCn1c[n+](cc1)C',
       'C[N+](COC)1C(CCC1)', 'CC[n+]1ccccc1(CC)',
       'CCCC[n+]1ccc(N(C)C)c(c1)', 'CC[N+]1(CCCCC1)C',
       'CCCC[n+]1cc[nH]c1', '[P+](CCCC)(CCCC)(CCCC)(C)',
       'C[n+]1ccccc1(CC)', 'Cc1ccc[n+](c1)C', 'C[N+]1(CCCCC1)CCCCCCCC'],
      dtype=object)"
Anions,"array(['[B-](F)(F)(F)F', 'F[P-](F)(F)(F)(F)F', 'N#C[B-](C#N)(C#N)C#N',
       'C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F', 'C(#N)[N-]C#N',
       'C(F)(F)(F)S(=O)(=O)[O-]', 'CS(=O)(=O)[O-]', 'Cl[Fe-](Cl)(Cl)Cl',
       'COS(=O)(=O)[O-]', '[I-]', 'C(#N)[C-](C#N)C#N', 'C(#N)[S-]',
       'CC(=O)[O-]', 'CCCCCCCCCC(=O)[O-]', '[Cl-]', '[Br-]',
       'CC(CC(C)(C)C)CP(=O)(CC(C)CC(C)(C)C)[O-]', 'C(=C(C#N)C#N)=[N-]',
       'COP(=O)([O-])OC', 'CCCCC(=O)[O-]', 'CCCC(=O)[O-]', 'CCC(=O)[O-]',
       'C(=O)[O-]', 'CCOP(=O)([O-])OCC', 'Cc1ccc(cc1)S(=O)(=O)[O-]',
       '[O-]Cl(=O)(=O)=O', 'C(=[N-])=NC#N', '[N+](=O)([O-])[O-]',
       'CCCCCC(=O)[O-]', '[O-]P(=O)([O-])CCCCCC', '[O-]P([O-])(=O)CC',
       '[O-]P([O-])(=O)CCCC', 'O=P([O-])([O-])CCCCCCCC',
       'c1cc(cc(c1)S(=O)(=O)[O-])C(=O)O', 'c1ccc(cc1)S(=O)(=O)[O-]',
       'C(C(=O)[O-])N', 'C(CN)C(=O)[O-]', 'CCCCCCCCCCOS(=O)(=O)[O-]',
       'CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-]',
       'C(=O)(C(F)(F)F)[O-]', 'C(CS(=O)(=O)[O-])N',
       'C(CCN)C[C@@H](C(=O)[O-])N', 'C[C@H]([C@@H](C(=O)[O-])N)O',
       'C([C@@H](C(=O)[O-])N)S', '[N-]=[N+]=[N-]',
       'C(C(F)(F)S(=O)(=O)[O-])(F)F', 'c1ccc(c(c1)C(=O)[O-])O',
       'CC(C)[C@@H](C(=O)[O-])N', 'CC(C)C[C@@H](C(=O)[O-])N',
       'c1cnc[n-]1', 'c1ccc(cc1)C(=O)[O-]', 'CC(C(=O)[O-])O',
       'C(C(=O)[O-])O', 'C(CC(=O)[O-])[C@@H](C(=O)[O-])[NH3+]',
       '[O-]P(=O)([O-])[O-]', 'OS(=O)(=O)[O-]',
       'C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F',
       'FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F', 'F[B-](F)(F)C(F)(F)F',
       'C[C@@H](C(=O)[O-])N', 'C([C@@H](C(=O)[O-])N)O',
       'C1C[C@H](NC1)C(=O)[O-]', '[N-](S(=O)(=O)F)S(=O)(=O)F',
       'CCOS(=O)(=O)[O-]',
       'C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F',
       'C(C(F)(F)S(=O)(=O)[O-])(OC(C(F)(F)F)(F)F)F',
       'C(C(F)(F)S(=O)(=O)[O-])(OC(F)(F)F)F',
       'CC1=CC=C(C=C1)S(=O)(=O)[O-]', 'C1=CC=C(C=C1)[O-]',
       'CC(C)C(=O)[O-]', 'C([C@@H](C(=O)[O-])N)C(=O)N',
       'CCCCCCOS(=O)(=O)[O-]', 'CCCCCCCCOS(=O)(=O)[O-]',
       'CCCCOS(=O)(=O)[O-]', 'CCCCO[P@@H](=O)[O-]', 'CCO[P@@H](=O)[O-]',
       'CCCCCCCCOP(=O)[O-]', 'OP(=O)(O)[O-]',
       'CCCCCCCCCCCCOS(=O)(=O)[O-]', 'COP(=O)([O-])',
       'COCCOCCOS(=O)(=O)[O-]', 'C(C(F)(F)F)(C(F)(F)S(=O)(=O)[O-])F'],
      dtype=object)"
Total datapoints,5631
density,871.3 - 1709.32
Temperature range (K),100.0 - 101.33
Pressure range (kPa),297.05 - 315.91
