"Density_kg/m, Experimental","Density_kg/m, Prediction",Salt Name,Temperature_K,Pressure_kPa
7.12640876502,7.13170887232,1-ethyl-3-methylimidazolium tetrafluoroborate,372.8,200000.0
7.11338637855,7.11567821607,1-ethyl-3-methylimidazolium ethyl sulfate,353.15,101.325
7.2597492844,7.24566339089,1-ethyl-3-methylimidazolium methanesulfonate,338.15,101.325
7.11004284842,7.11154212199,1-ethyl-3-methylimidazolium ethyl sulfate,350.65,100.0
7.12876054579,7.10554319569,1-ethyl-3-methylimidazolium ethyl sulfate,315.65,15000.0
7.13648320859,7.14135209117,1-ethyl-3-methylimidazolium ethyl sulfate,333.15,10000.0
7.09696969203,7.09521698131,1-ethyl-3-methylimidazolium tetrafluoroborate,285.0,101.325
7.16332729752,7.14236289834,1-ethyl-3-methylimidazolium ethyl sulfate,323.15,25000.0
7.16734647127,7.16799543468,1-ethyl-3-methylimidazolium ethyl sulfate,273.15,101.325
7.22591805869,7.22057247332,1-ethyl-3-methylimidazolium thiocyanate,308.15,101.325
7.14677217945,7.14528509696,1-ethyl-3-methylimidazolium acetate,298.15,101.325
7.13344757947,7.11080315321,1-ethyl-3-methylimidazolium ethyl sulfate,303.15,100.0
7.19188103523,7.1904738336,1-ethyl-3-methylimidazolium ethyl sulfate,303.15,55000.0
7.32212066188,7.32370692424,1-ethyl-3-methylimidazolium hexafluorophosphate,392.9,200000.0
7.23323878866,7.22670904772,1-ethyl-3-methylimidazolium methylsulfate,313.15,101.325
7.29573507275,7.30134578867,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,393.15,10000.0
7.1247117296,7.1296633882,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,323.14,101.325
7.11898817927,7.12206559246,1-ethyl-3-methylimidazolium hexafluorophosphate,452.5,100000.0
7.31388683163,7.33129164422,1-ethyl-3-methylimidazolium ethyl sulfate,288.15,25000.0
7.31088432729,7.31422683532,1-ethyl-3-methylimidazolium tetrafluoroborate,293.15,8000.0
7.14606326682,7.13067398988,1-ethyl-3-methylimidazolium tetrafluoroborate,319.239,1155.6
7.09448377759,7.09313590541,1-ethyl-3-methylimidazolium thiocyanate,308.15,800.0
7.29301767977,7.29795602118,"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",293.0,101.325
7.15453722886,7.15691079675,1-ethyl-3-methylimidazolium acetate,328.15,101.0
6.98545678665,6.99840814752,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,323.0,101.325
7.28865443315,7.29497002297,1-ethyl-3-methylimidazolium hexafluorophosphate,373.15,101.325
7.12415614943,7.12265006879,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,293.11,101.325
7.13568734703,7.1412326326,1-ethyl-3-methylimidazolium ethyl sulfate,353.15,25000.0
7.10101677581,7.09954014518,1-ethyl-3-methylimidazolium methylsulfate,303.15,25000.0
7.15461535691,7.16471693431,1-ethyl-3-methylimidazolium tetrafluoroborate,333.15,101.325
7.15469347886,7.15691079675,1-ethyl-3-methylimidazolium ethyl sulfate,322.3,101.325
7.00342902905,7.00422253268,1-ethyl-3-methylimidazolium methylsulfate,298.15,100.0
7.34187262966,7.34334353697,1-ethyl-3-methylimidazolium methylsulfate,308.15,101.325
7.11509459875,7.1185945703,1-ethyl-3-methylimidazolium acetate,308.15,101.0
7.0601329594,7.05905523111,1-ethyl-3-methylimidazolium ethyl sulfate,303.15,2010.0
7.11430592632,7.11826677086,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,100.0
7.37086016654,7.33953226875,1-ethyl-3-methylimidazolium tetrafluoroborate,343.15,101.325
7.12584608666,7.12440337576,1-ethyl-3-methylimidazolium ethyl sulfate,323.18,101.325
7.11232744471,7.10830674105,1-ethyl-3-methylimidazolium tetrafluoroborate,340.348,9969.2
7.1483457439,7.14814420088,1-ethyl-3-methylimidazolium methylsulfate,333.15,101.325
7.09307234476,7.09553211194,1-ethyl-3-methylimidazolium ethyl sulfate,343.15,101.325
6.97994569952,6.99256375027,1-ethyl-3-methylimidazolium ethyl sulfate,333.15,35000.0
7.16348218019,7.16213512588,1-ethyl-3-methylimidazolium ethyl sulfate,313.15,101.325
7.11004284842,7.11275017305,1-ethyl-3-methylimidazolium methanesulfonate,298.15,101.325
7.13153862558,7.13726081784,1-ethyl-3-methylimidazolium tetrafluoroborate,293.15,50000.0
7.10062929554,7.10365577774,1-ethyl-3-methylimidazolium tetrafluoroborate,313.15,15000.0
7.16780918432,7.17180745688,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,293.0,101.325
7.15187723668,7.15457292389,1-ethyl-3-methylimidazolium tetrafluoroborate,432.9,200000.0
6.99025650049,7.00425265873,1-ethyl-3-methylimidazolium tetrafluoroborate,356.401,59860.0
7.09506437729,7.09277986766,1-ethyl-3-methylimidazolium thiocyanate,318.15,2000.0
7.1553963019,7.13414518702,1-ethyl-3-methylimidazolium methanesulfonate,348.15,101.325
7.11546839104,7.12005520499,1-ethyl-3-methylimidazolium thiocyanate,363.15,101.325
7.1268908089,7.13083575596,1-ethyl-3-methylimidazolium ethyl sulfate,300.65,20000.0
7.01436501404,7.01591132717,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,353.15,15000.0
7.01355569787,7.02763013375,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,313.15,101.325
7.15793795596,7.14236289834,1-ethyl-3-methylimidazolium hexafluorophosphate,432.6,30000.0
7.09374509946,7.09693475752,1-ethyl-3-methylimidazolium ethyl sulfate,333.15,40000.0
7.11403747322,7.11680567155,1-ethyl-3-methylimidazolium ethyl sulfate,323.15,10000.0
7.09804500543,7.10131805545,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,298.15,101.325
7.32929056727,7.32955132148,1-ethyl-3-methylimidazolium ethyl sulfate,283.15,20000.0
7.27586460055,7.28798488029,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,313.15,101.325
7.1236727852,7.12736116617,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,101.325
6.99080883412,6.99727444842,1-ethyl-3-methylimidazolium tetrafluoroborate,313.2,90000.0
7.21964204013,7.23211258905,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,313.16,80342.0
7.11655646858,7.1141511383,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,293.15,7500.0
7.16595704611,7.16709012391,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,293.15,101.325
7.10298483462,7.10570129237,1-ethyl-3-methylimidazolium acetate,288.15,101.0
6.9906247568,7.00425254477,1-ethyl-3-methylimidazolium ethyl sulfate,333.15,101.325
7.16780918432,7.17285927753,1-ethyl-3-methylimidazolium ethyl sulfate,292.49,101.325
7.14424931466,7.15011868704,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,264.312,10134.0
7.30182234214,7.31603779182,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,291.0,101.325
7.09680415653,7.09369574793,1-ethyl-3-methylimidazolium ethyl sulfate,320.65,20000.0
7.01400539882,7.02763024772,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,297.94,101.325
7.10906213569,7.11856534831,1-ethyl-3-methylimidazolium tetrafluoroborate,288.15,50000.0
7.08565038682,7.08676551607,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,303.15,101.325
6.98150747357,6.99548606286,1-ethyl-3-methylimidazolium tetrafluoroborate,293.15,100.0
7.21868990324,7.20621911637,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,342.99,101.325
7.3153514481,7.31195173546,1-ethyl-3-methylimidazolium tetrafluoroborate,313.15,101.325
7.15890302671,7.16096629524,1-ethyl-3-methylimidazolium ethyl sulfate,323.15,40000.0
7.09423484592,7.09074432732,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,293.17,29994.0
7.1456692092,7.14752419378,1-ethyl-3-methylimidazolium tetrafluoroborate,313.15,4000.0
7.12294730051,7.12674115907,1-ethyl-3-methylimidazolium ethyl sulfate,323.15,25000.0
7.27655640272,7.29043967358,1-ethyl-3-methylimidazolium tetrafluoroborate,303.15,101.325
7.20860033796,7.22509936117,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,288.15,101.0
7.13409372119,7.13901430786,1-ethyl-3-methylimidazolium tetrafluoroborate,432.9,160000.0
7.07716044384,7.07414158385,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,403.15,101.325
7.12785420011,7.132001141,1-ethyl-3-methylimidazolium thiocyanate,313.15,101.325
7.13703993505,7.11314091211,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,353.15,1000.0
7.13815245901,7.14602741371,1-ethyl-3-methylimidazolium ethyl sulfate,333.15,29992.0
7.13137871513,7.12966335769,1-ethyl-3-methylimidazolium ethyl sulfate,393.15,10000.0
7.15461535691,7.15402950891,1-ethyl-3-methylimidazolium ethyl sulfate,313.15,20000.0
7.11476944837,7.11739008686,1-ethyl-3-methylimidazolium ethyl sulfate,253.15,101.325
7.1032398223,7.10570135339,1-ethyl-3-methylimidazolium methanesulfonate,358.15,101.325
7.15796910182,7.15605703573,1-ethyl-3-methylimidazolium tetrafluoroborate,413.0,80000.0
7.01822273201,7.01982708675,1-ethyl-3-methylimidazolium ethyl sulfate,393.15,109877.0
7.31674749287,7.31786252699,1-ethyl-3-methylimidazolium tetrafluoroborate,332.6,110000.0
7.25770767716,7.26367211452,1-ethyl-3-methylimidazolium ethyl sulfate,393.15,15000.0
7.3215191899,7.31431300814,1-ethyl-3-methylimidazolium thiocyanate,338.15,1000.0
7.13300860316,7.13872216122,1-ethyl-3-methylimidazolium ethyl sulfate,283.15,25000.0
7.11451738408,7.11713931539,1-ethyl-3-methylimidazolium tetrafluoroborate,313.15,101.0
7.16549347506,7.14408067455,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,393.15,3000.0
6.98610424539,6.98462090334,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,328.15,100.0
6.97867961732,6.99256386424,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,10000.0
7.21022743691,7.20695504116,1-ethyl-3-methylimidazolium ethyl sulfate,313.15,35000.0
7.12928152316,7.10612763541,1-ethyl-3-methylimidazolium tetrafluoroborate,303.15,60000.0
7.10832596944,7.10982797443,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,333.15,35000.0
7.11882624906,7.12151676892,1-ethyl-3-methylimidazolium ethyl sulfate,333.15,101.325
7.15461535691,7.16585034814,1-ethyl-3-methylimidazolium ethyl sulfate,373.15,60000.0
7.13396612135,7.11138759293,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,331.492,1256.6
7.1018407027,7.10412337711,1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,303.15,1000.0
7.21406281556,7.20917585598,1-ethyl-3-methylimidazolium ethyl sulfate,293.15,101.325
7.11200139319,7.11567190705,1-ethyl-3-methylimidazolium tetrafluoroborate,298.15,101.325
7.01562264985,7.01676508819,1-ethyl-3-methylimidazolium tetrafluoroborate,293.15,40000.0
7.15140709093,7.15336859103,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,100.0
7.10603220257,7.10982797443,1-ethyl-3-methylimidazolium ethyl sulfate,343.15,101.325
7.12447826249,7.12849446604,1-ethyl-3-methylimidazolium ethyl sulfate,343.15,101.325
