,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>","Temperature, K"
319,39958.0,1285.8,318.404
320,30004.0,1281.5,318.494
321,60242.0,1293.2,318.573
322,1155.6,1268.0,319.239
323,60094.0,1289.2,325.39
324,50050.0,1285.2,325.502
325,30106.0,1276.7,325.589
326,39966.0,1280.8,325.589
327,9902.1,1267.4,325.651
328,18720.0,1272.1,325.659
329,1166.5,1262.3,326.257
330,59788.0,1284.5,332.567
331,39915.0,1276.0,332.792
332,50074.0,1280.1,332.852
333,29859.0,1271.4,332.865
334,10159.0,1261.7,332.985
335,19960.0,1266.8,333.066
336,19960.0,1266.8,333.066
337,1252.9,1257.3,333.62
338,59745.0,1279.5,340.278
339,9969.2,1256.7,340.348
340,19698.0,1261.0,340.365
341,50227.0,1275.3,340.39
342,39835.0,1270.7,340.415
343,29899.0,1266.1,340.548
344,1357.1,1251.7,341.04
345,59854.0,1274.6,347.769
346,10024.0,1251.1,347.971
347,29830.0,1260.3,348.021
348,19820.0,1256.0,348.043
349,49790.0,1270.0,348.153
350,39938.0,1265.4,348.237
351,20035.0,1250.4,355.847
352,29675.0,1255.3,355.861
353,40147.0,1259.6,356.015
354,40147.0,1259.6,356.015
355,49918.0,1264.7,356.019
356,59860.0,1269.2,356.401
357,100.0,1297.0,283.15
358,2000.0,1297.8,283.15
359,4000.0,1298.7,283.15
360,6000.0,1299.5,283.15
361,8000.0,1300.4,283.15
362,10000.0,1301.2,283.15
363,12000.0,1302.0,283.15
364,14000.0,1302.8,283.15
365,20000.0,1305.3,283.15
366,30000.0,1309.3,283.15
367,40000.0,1313.3,283.15
368,50000.0,1317.1,283.15
369,60000.0,1320.8,283.15
370,100.0,1293.2,288.15
371,2000.0,1294.0,288.15
372,4000.0,1294.9,288.15
373,6000.0,1295.7,288.15
374,8000.0,1296.6,288.15
375,10000.0,1297.5,288.15
376,12000.0,1298.3,288.15
377,14000.0,1299.1,288.15
378,20000.0,1301.6,288.15
379,30000.0,1305.6,288.15
380,40000.0,1309.5,288.15
381,50000.0,1313.4,288.15
382,60000.0,1317.2,288.15
383,100.0,1289.4,293.15
384,2000.0,1290.2,293.15
385,4000.0,1291.0,293.15
386,6000.0,1291.9,293.15
387,8000.0,1292.8,293.15
388,10000.0,1293.6,293.15
389,12000.0,1294.5,293.15
390,14000.0,1295.3,293.15
391,20000.0,1297.8,293.15
392,30000.0,1301.9,293.15
393,40000.0,1305.8,293.15
394,50000.0,1309.7,293.15
395,60000.0,1313.5,293.15
396,100.0,1285.5,298.15
397,2000.0,1286.3,298.15
398,4000.0,1287.2,298.15
399,6000.0,1288.1,298.15
400,8000.0,1289.0,298.15
401,10000.0,1289.8,298.15
402,12000.0,1290.7,298.15
403,14000.0,1291.5,298.15
404,20000.0,1294.0,298.15
405,30000.0,1298.2,298.15
406,40000.0,1302.2,298.15
407,50000.0,1306.1,298.15
408,60000.0,1310.0,298.15
409,100.0,1281.7,303.15
410,2000.0,1282.6,303.15
411,4000.0,1283.4,303.15
412,6000.0,1284.3,303.15
413,8000.0,1285.3,303.15
414,10000.0,1286.1,303.15
415,12000.0,1287.0,303.15
416,14000.0,1287.8,303.15
417,20000.0,1290.4,303.15
418,30000.0,1294.5,303.15
419,40000.0,1298.6,303.15
420,50000.0,1302.6,303.15
421,60000.0,1306.4,303.15
422,100.0,1277.9,308.15
423,2000.0,1278.8,308.15
424,4000.0,1279.7,308.15
425,6000.0,1280.6,308.15
426,8000.0,1281.5,308.15
427,10000.0,1282.3,308.15
428,12000.0,1283.2,308.15
429,14000.0,1284.1,308.15
430,20000.0,1286.7,308.15
431,30000.0,1290.8,308.15
432,40000.0,1295.0,308.15
433,50000.0,1298.9,308.15
434,60000.0,1302.8,308.15
435,100.0,1274.2,313.15
436,2000.0,1275.0,313.15
437,4000.0,1275.9,313.15
438,6000.0,1276.8,313.15
439,8000.0,1277.7,313.15
440,10000.0,1278.6,313.15
441,12000.0,1279.5,313.15
442,14000.0,1280.4,313.15
443,20000.0,1283.0,313.15
444,30000.0,1287.3,313.15
445,40000.0,1291.4,313.15
446,50000.0,1295.4,313.15
447,60000.0,1299.4,313.15
448,100.0,1270.4,318.15
449,2000.0,1271.3,318.15
450,4000.0,1272.2,318.15
451,6000.0,1273.1,318.15
452,8000.0,1274.0,318.15
453,10000.0,1275.0,318.15
454,12000.0,1275.9,318.15
455,14000.0,1276.7,318.15
456,20000.0,1279.4,318.15
457,30000.0,1283.7,318.15
458,40000.0,1287.8,318.15
459,50000.0,1291.9,318.15
460,60000.0,1295.9,318.15
461,100.0,1266.7,323.15
462,2000.0,1267.6,323.15
463,4000.0,1268.5,323.15
464,6000.0,1269.5,323.15
465,8000.0,1270.4,323.15
466,10000.0,1271.3,323.15
467,12000.0,1272.2,323.15
468,14000.0,1273.1,323.15
469,20000.0,1275.8,323.15
470,30000.0,1280.1,323.15
471,40000.0,1284.3,323.15
472,50000.0,1288.4,323.15
473,60000.0,1292.4,323.15
474,10000.0,1274.0,313.2
475,10000.0,1259.0,332.6
476,10000.0,1244.0,352.7
477,10000.0,1230.0,372.8
478,10000.0,1216.0,392.9
479,10000.0,1202.0,413.0
480,10000.0,1189.0,432.9
481,10000.0,1176.0,452.6
482,10000.0,1163.0,472.4
483,20000.0,1278.0,313.2
484,20000.0,1264.0,332.6
485,20000.0,1249.0,352.7
486,20000.0,1235.0,372.8
487,20000.0,1221.0,392.9
488,20000.0,1208.0,413.0
489,20000.0,1195.0,432.9
490,20000.0,1182.0,452.6
491,20000.0,1169.0,472.4
492,30000.0,1282.0,313.2
493,30000.0,1268.0,332.6
494,30000.0,1254.0,352.7
495,30000.0,1240.0,372.8
496,30000.0,1227.0,392.9
497,30000.0,1213.0,413.0
498,30000.0,1200.0,432.9
499,30000.0,1188.0,452.6
500,30000.0,1175.0,472.4
501,40000.0,1287.0,313.2
502,40000.0,1273.0,332.6
503,40000.0,1259.0,352.7
504,40000.0,1245.0,372.8
505,40000.0,1232.0,392.9
506,40000.0,1219.0,413.0
507,40000.0,1206.0,432.9
508,40000.0,1193.0,452.6
509,40000.0,1181.0,472.4
510,50000.0,1291.0,313.2
511,50000.0,1277.0,332.6
512,50000.0,1263.0,352.7
513,50000.0,1250.0,372.8
514,50000.0,1237.0,392.9
515,50000.0,1224.0,413.0
516,50000.0,1211.0,432.9
517,50000.0,1199.0,452.6
518,50000.0,1187.0,472.4
519,60000.0,1295.0,313.2
520,60000.0,1281.0,332.6
521,60000.0,1267.0,352.7
522,60000.0,1254.0,372.8
523,60000.0,1241.0,392.9
524,60000.0,1229.0,413.0
525,60000.0,1216.0,432.9
526,60000.0,1204.0,452.6
527,60000.0,1192.0,472.4
528,70000.0,1299.0,313.2
529,70000.0,1285.0,332.6
530,70000.0,1272.0,352.7
531,70000.0,1258.0,372.8
532,70000.0,1246.0,392.9
533,70000.0,1233.0,413.0
534,70000.0,1221.0,432.9
535,70000.0,1209.0,452.6
536,70000.0,1197.0,472.4
537,80000.0,1302.0,313.2
538,80000.0,1289.0,332.6
539,80000.0,1276.0,352.7
540,80000.0,1263.0,372.8
541,80000.0,1250.0,392.9
542,80000.0,1238.0,413.0
543,80000.0,1226.0,432.9
544,80000.0,1214.0,452.6
545,80000.0,1202.0,472.4
546,90000.0,1306.0,313.2
547,90000.0,1293.0,332.6
548,90000.0,1280.0,352.7
549,90000.0,1267.0,372.8
550,90000.0,1254.0,392.9
551,90000.0,1242.0,413.0
552,90000.0,1230.0,432.9
553,90000.0,1219.0,452.6
554,90000.0,1207.0,472.4
555,100000.0,1310.0,313.2
556,100000.0,1297.0,332.6
557,100000.0,1284.0,352.7
558,100000.0,1271.0,372.8
559,100000.0,1259.0,392.9
560,100000.0,1247.0,413.0
561,100000.0,1235.0,432.9
562,100000.0,1223.0,452.6
563,100000.0,1212.0,472.4
564,110000.0,1313.0,313.2
565,110000.0,1300.0,332.6
566,110000.0,1287.0,352.7
567,110000.0,1275.0,372.8
568,110000.0,1263.0,392.9
569,110000.0,1251.0,413.0
570,110000.0,1239.0,432.9
571,110000.0,1228.0,452.6
572,110000.0,1217.0,472.4
573,120000.0,1317.0,313.2
574,120000.0,1304.0,332.6
575,120000.0,1291.0,352.7
576,120000.0,1279.0,372.8
577,120000.0,1267.0,392.9
578,120000.0,1255.0,413.0
579,120000.0,1243.0,432.9
580,120000.0,1232.0,452.6
581,120000.0,1221.0,472.4
582,130000.0,1320.0,313.2
583,130000.0,1307.0,332.6
584,130000.0,1295.0,352.7
585,130000.0,1282.0,372.8
586,130000.0,1270.0,392.9
587,130000.0,1259.0,413.0
588,130000.0,1247.0,432.9
589,130000.0,1236.0,452.6
590,130000.0,1226.0,472.4
591,140000.0,1323.0,313.2
592,140000.0,1311.0,332.6
593,140000.0,1298.0,352.7
594,140000.0,1286.0,372.8
595,140000.0,1274.0,392.9
596,140000.0,1263.0,413.0
597,140000.0,1252.0,432.9
598,140000.0,1240.0,452.6
599,140000.0,1230.0,472.4
600,150000.0,1327.0,313.2
601,150000.0,1314.0,332.6
602,150000.0,1302.0,352.7
603,150000.0,1290.0,372.8
604,150000.0,1278.0,392.9
605,150000.0,1267.0,413.0
606,150000.0,1255.0,432.9
607,150000.0,1245.0,452.6
608,150000.0,1234.0,472.4
609,160000.0,1330.0,313.2
610,160000.0,1317.0,332.6
611,160000.0,1305.0,352.7
612,160000.0,1293.0,372.8
613,160000.0,1282.0,392.9
614,160000.0,1270.0,413.0
615,160000.0,1259.0,432.9
616,160000.0,1248.0,452.6
617,160000.0,1238.0,472.4
618,170000.0,1333.0,313.2
619,170000.0,1321.0,332.6
620,170000.0,1309.0,352.7
621,170000.0,1297.0,372.8
622,170000.0,1285.0,392.9
623,170000.0,1274.0,413.0
624,170000.0,1263.0,432.9
625,170000.0,1252.0,452.6
626,170000.0,1242.0,472.4
627,180000.0,1336.0,313.2
628,180000.0,1324.0,332.6
629,180000.0,1312.0,352.7
630,180000.0,1300.0,372.8
631,180000.0,1289.0,392.9
632,180000.0,1278.0,413.0
633,180000.0,1267.0,432.9
634,180000.0,1256.0,452.6
635,180000.0,1246.0,472.4
636,190000.0,1339.0,313.2
637,190000.0,1327.0,332.6
638,190000.0,1315.0,352.7
639,190000.0,1303.0,372.8
640,190000.0,1292.0,392.9
641,190000.0,1281.0,413.0
642,190000.0,1270.0,432.9
643,190000.0,1260.0,452.6
644,190000.0,1250.0,472.4
645,200000.0,1342.0,313.2
646,200000.0,1330.0,332.6
647,200000.0,1318.0,352.7
648,200000.0,1307.0,372.8
649,200000.0,1295.0,392.9
650,200000.0,1285.0,413.0
651,200000.0,1274.0,432.9
652,200000.0,1264.0,452.6
653,200000.0,1253.0,472.4
